,交易类型,日期,开盘价,收盘价,现金,股数,成本,持仓
0,正常买入,2019-01-31,2581.3315,2584.5724,1.4901161193847656e-08,38700.99593953737,99999999.99999999,38700.99593953737
1,正常卖出,2019-02-15,2712.7862,2682.385,103707160.0222827,38700.99593953737,99999999.99999999,0.0
2,正常买入,2019-02-21,2759.9383,2751.8012,-1.4901161193847656e-08,37538.35963137905,103707160.02228272,37538.35963137905
3,正常卖出,2019-02-26,2969.0976,2941.5163,110309277.03423248,37538.35963137905,103707160.02228272,0.0
4,正常买入,2019-03-29,3000.6783,3090.758,1.4901161193847656e-08,36724.72252566235,110309277.03423247,36724.72252566235
5,正常卖出,2019-04-02,3183.2736,3176.8227,116551264.23855479,36724.72252566235,110309277.03423247,0.0
6,正常买入,2019-04-08,3271.2722,3244.8103,-1.4901161193847656e-08,35593.1338911955,116551264.2385548,35593.1338911955
7,正常卖出,2019-04-11,3241.5474,3189.9619,113427200.27349786,35593.1338911955,116551264.2385548,0.0
8,正常买入,2019-05-07,2914.2914,2926.3908,-1.4901161193847656e-08,38882.140058852994,113427200.27349788,38882.140058852994
9,正常卖出,2019-05-29,2894.8297,2914.6964,113216304.02018075,38882.140058852994,113427200.27349788,0.0
10,正常买入,2019-06-27,2982.6125,2996.7926,-1.4901161193847656e-08,37920.84986546573,113216304.02018076,37920.84986546573
11,正常卖出,2019-07-02,3042.58,3043.9428,115313469.01994748,37920.84986546573,113216304.02018076,0.0
12,正常买入,2019-07-05,3004.7383,3011.0588,0.0,38338.8698939932,115313469.01994748,38338.8698939932
13,正常卖出,2019-07-18,2921.7387,2901.1766,111116604.37469064,38338.8698939932,115313469.01994748,0.0
14,正常买入,2019-07-23,2886.9044,2899.9446,0.0,38451.428726186685,111116604.37469064,38451.428726186685
15,正常卖出,2019-08-06,2776.9889,2777.5559,106694191.72912745,38451.428726186685,111116604.37469064,0.0
16,正常买入,2019-08-07,2789.0187,2768.6795,0.0,38216.88399758756,106694191.72912745,38216.88399758756
17,正常卖出,2019-08-26,2851.0158,2863.5673,109327182.70406163,38216.88399758756,106694191.72912745,0.0
18,正常买入,2019-10-10,2923.7069,2947.7106,0.0,37355.98966480611,109327182.70406163,37355.98966480611
19,正常卖出,2019-11-13,2913.0197,2905.2409,108419620.88513783,37355.98966480611,109327182.70406163,0.0
20,正常买入,2019-11-25,2885.6133,2906.1688,-1.4901161193847656e-08,37534.93566707718,108419620.88513784,37534.93566707718
21,正常卖出,2019-12-04,2876.9079,2878.1157,107921857.75426288,37534.93566707718,108419620.88513784,0.0
22,正常买入,2019-12-06,2902.278,2912.0136,0.0,37148.07599773431,107921857.75426288,37148.07599773431
23,正常卖出,2019-12-12,2926.3416,2915.6983,108204269.45282987,37148.07599773431,107921857.75426288,0.0
24,正常买入,2019-12-13,2937.7763,2967.6764,1.4901161193847656e-08,36795.23634238261,108204269.45282985,36795.23634238261
25,正常卖出,2019-12-18,3021.4657,3017.0444,110901848.8917085,36795.23634238261,108204269.45282985,0.0
