,收盘价(元)
0,2954.3486
1,2929.1833
2,2929.1833
3,2887.5379
4,2893.2513
5,2877.7023
6,2886.6502
7,2881.9769
8,2886.2908
9,2886.2908
10,2893.9886
11,2833.6152
12,2845.7839
13,2832.2793
14,2756.3399
15,2770.9763
16,2820.7719
17,2906.1087
18,2910.2227
19,2883.356
20,2830.5266
21,2788.5482
22,2770.7403
23,2730.152
24,2702.185
25,2789.486
26,2829.6956
27,2865.9032
28,2910.544
29,2910.544
30,2922.7302
31,2950.9556
32,2988.3578
33,3004.881
34,2977.0221
35,3015.4807
36,2957.8524
37,3015.1712
38,3027.0204
39,3039.3055
40,3047.7931
41,3039.9309
42,3027.4013
43,3046.0192
44,3068.4554
45,3055.935
46,3043.8346
47,3038.2339
48,3054.6359
49,3084.9262
50,3062.7558
51,3079.6859
52,3077.113
53,3048.0336
54,3026.3055
55,3031.4809
56,2993.1388
57,3010.6636
58,3041.1669
59,3077.3786
60,3074.9586
61,3069.2959
62,3047.0526
63,3048.5369
64,3027.3349
65,3034.2464
66,3019.4735
67,3057.3776
68,3007.0681
69,3071.3806
70,3074.2246
71,3065.261
72,3044.5952
73,3021.9775
74,3044.8223
75,3052.9
76,3088.6357
77,3113.0432
78,3104.8245
79,3140.7204
80,3147.738
81,3128.4798
82,3154.3201
83,3154.5472
84,3148.0207
85,3148.0207
86,3145.7743
87,3119.9021
88,3122.401
89,3154.0263
90,3154.0263
91,3171.1451
92,3157.9657
93,3158.5399
94,3116.387
95,3088.8705
96,3124.0427
97,3109.5721
98,3111.0176
99,3091.6778
100,3086.8134
101,3086.8134
102,3078.4887
103,3091.1992
104,3065.4034
105,3048.7939
106,3051.2787
107,3028.0451
108,3037.4675
109,3028.9187
110,3032.6333
111,3015.8907
112,3030.2464
113,3018.0491
114,3005.4369
115,2998.1377
116,2963.0989
117,2949.9963
118,2972.5251
119,2945.8524
120,2967.4028
121,2994.7303
122,2997.0111
123,2982.3756
124,2957.567
125,2949.9333
126,2922.4498
127,2959.3724
128,2939.3636
129,2970.3874
130,2971.295
131,2974.0107
132,2976.3043
133,2962.8549
134,2977.1334
135,2982.3086
136,2964.2155
137,2915.3685
138,2901.9518
139,2886.7416
140,2890.8973
141,2891.8453
142,2879.2996
143,2938.7493
144,2932.3871
145,2905.3375
146,2860.6978
147,2867.2837
148,2869.8338
149,2869.9014
150,2862.1941
151,2858.2046
152,2867.946
153,2850.6539
154,2877.3579
155,2879.4298
156,2893.6738
157,2866.661
158,2856.5839
159,2848.7718
160,2854.3675
161,2855.5203
162,2848.7312
163,2837.4293
164,2823.106
165,2842.2142
166,2811.035
167,2802.9787
168,2784.2783
169,2788.3141
170,2765.8066
171,2736.4876
172,2744.1921
173,2721.7952
174,2717.1231
175,2704.0896
176,2717.2813
177,2736.0222
178,2736.8139
179,2748.9177
180,2863.1255
181,2896.3057
182,3000.9526
183,3087.5286
184,3336.4974
185,3489.7751
186,3258.8578
187,3301.9259
188,3217.7377
189,3284.3225
190,3201.2919
191,3202.948
192,3169.3843
193,3261.5633
194,3268.11
195,3285.8669
196,3302.8028
197,3280.2625
198,3299.7003
199,3299.7003
200,3322.1975
201,3322.1975
202,3286.407
203,3266.2378
204,3279.8244
205,3272.0142
206,3310.2072
207,3386.9869
208,3383.8062
209,3470.6609
210,3452.2971
211,3470.0657
212,3421.9701
213,3439.2778
214,3379.8389
215,3330.7263
216,3323.8486
217,3346.0098
218,3367.9893
219,3370.4039
220,3267.1916
221,3263.7597
222,3259.7572
223,3309.7789
224,3295.6983
225,3326.4557
226,3363.9823
227,3378.8063
228,3364.6498
229,3368.8553
230,3404.0764
231,3402.5343
232,3422.6607
233,3432.4902
234,3461.4998
235,3391.8782
236,3386.3312
237,3361.485
238,3382.2081
239,3370.0331
240,3368.0693
241,3351.2571
242,3393.5281
243,3393.3501
244,3398.0765
245,3400.142
246,3407.3259
247,3351.763
