,交易类型,日期,开盘价,收盘价,现金,股数,成本,持仓
0,正常买入,2023-01-09,3169.3737,3176.0845,1.4901161193847656e-08,31520.45462486797,99999999.99999999,31520.45462486797
1,正常卖出,2023-02-02,3291.7828,3285.6705,103462262.07960975,31520.45462486797,99999999.99999999,0.0
2,正常买入,2023-02-09,3227.7278,3270.3826,0.0,32022.186993721505,103462262.07960975,32022.186993721505
3,正常卖出,2023-02-15,3294.015,3280.4919,104943476.52813555,32022.186993721505,103462262.07960975,0.0
4,正常买入,2023-02-27,3256.9998,3258.0344,-1.4901161193847656e-08,32188.714868894167,104943476.52813557,32188.714868894167
5,正常卖出,2023-03-07,3320.211,3285.0988,105637365.48075703,32188.714868894167,104943476.52813557,0.0
6,正常买入,2023-03-15,3261.0284,3263.3148,0.0,32361.519343747488,105637365.48075703,32361.519343747488
7,正常卖出,2023-03-20,3253.9302,3234.9103,104581925.63648926,32361.519343747488,105637365.48075703,0.0
8,正常买入,2023-04-03,3277.34,3296.396,0.0,31878.73342048764,104581925.63648926,31878.73342048764
9,正常卖出,2023-04-18,3379.2267,3393.3312,108066925.6314912,31878.73342048764,104581925.63648926,0.0
10,正常买入,2023-05-15,3269.8781,3310.7367,-1.4901161193847656e-08,33016.20530282961,108066925.63149121,33016.20530282961
11,正常卖出,2023-05-17,3281.9664,3284.232,108324445.09614855,33016.20530282961,108066925.63149121,0.0
12,正常买入,2023-05-22,3278.596,3296.4696,1.4901161193847656e-08,33006.88125870991,108324445.09614854,33006.88125870991
13,正常卖出,2023-05-24,3237.7045,3204.7494,105673004.12681213,33006.88125870991,108324445.09614854,0.0
14,正常买入,2023-06-02,3212.4489,3230.0686,0.0,32861.98161474943,105673004.12681213,32861.98161474943
15,正常卖出,2023-06-05,3231.8108,3232.441,106118192.29604949,32861.98161474943,105673004.12681213,0.0
16,正常买入,2023-06-14,3238.1189,3228.9887,0.0,32738.81638995207,106118192.29604949,32738.81638995207
17,正常卖出,2023-07-04,3241.2305,3245.3492,106142642.68849777,32738.81638995207,106118192.29604949,0.0
18,正常买入,2023-07-19,3195.0085,3198.8358,0.0,33188.20781929543,106142642.68849777,33188.20781929543
19,正常卖出,2023-07-26,3228.0873,3223.0279,106859553.23283474,33188.20781929543,106142642.68849777,0.0
20,正常买入,2023-07-28,3206.741,3275.9257,0.0,33290.12241163298,106859553.23283474,33290.12241163298
21,正常卖出,2023-08-02,3281.8583,3261.6903,108473487.28648008,33290.12241163298,106859553.23283474,0.0
22,正常买入,2023-08-15,3180.5579,3176.1758,0.0,34071.104998376475,108473487.28648008,34071.104998376475
23,正常卖出,2023-08-23,3116.2661,3078.4021,104779676.6151463,34071.104998376475,108473487.28648008,0.0
24,正常买入,2023-09-01,3126.0234,3133.2467,0.0,33485.034569329444,104779676.6151463,33485.034569329444
25,正常卖出,2023-09-05,3169.7384,3154.3693,105518540.88987659,33485.034569329444,104779676.6151463,0.0
26,正常买入,2023-09-22,3084.7567,3132.4316,0.0,34172.266409896925,105518540.88987659,34172.266409896925
27,正常卖出,2023-10-09,3099.9998,3096.9224,105723028.44627379,34172.266409896925,105518540.88987659,0.0
28,正常买入,2023-10-10,3104.3651,3075.2361,-1.4901161193847656e-08,34022.226005323464,105723028.4462738,34022.226005323464
29,正常卖出,2023-10-18,3076.5796,3058.7098,103960051.98419742,34022.226005323464,105723028.4462738,0.0
30,正常买入,2023-10-23,2969.7858,2939.2913,0.0,34970.938236828064,103960051.98419742,34970.938236828064
31,正常卖出,2023-10-24,2944.3105,2962.2437,103488849.03365791,34970.938236828064,103960051.98419742,0.0
32,正常买入,2023-11-01,3038.1821,3023.0765,0.0,34028.725128124424,103488849.03365791,34028.725128124424
33,正常卖出,2023-11-07,3052.9202,3057.2697,103930955.27357957,34028.725128124424,103488849.03365791,0.0
34,正常买入,2023-11-13,3044.0319,3046.5329,-1.4901161193847656e-08,34108.42315595778,103930955.27357958,34108.42315595778
35,正常卖出,2023-11-16,3066.8554,3050.9257,103958202.52819368,34108.42315595778,103930955.27357958,0.0
36,正常买入,2023-12-14,2979.699,2958.9856,0.0,34853.9728945822,103958202.52819368,34853.9728945822
37,正常卖出,2023-12-20,2932.1186,2902.1096,101048899.28617127,34853.9728945822,103958202.52819368,0.0
38,正常买入,2023-12-21,2892.0201,2918.7149,0.0,34905.68801193202,101048899.28617127,34905.68801193202
39,正常卖出,2023-12-25,2909.8751,2918.8126,101781278.81891523,34905.68801193202,101048899.28617127,0.0
