,0
0,100000000.0
1,100000000.0
2,100000000.0
3,100000000.0
4,100000000.0
5,100000000.0
6,100000000.0
7,100000000.0
8,100000000.0
9,100000000.0
10,100000000.0
11,100000000.0
12,100000000.0
13,100000000.0
14,100000000.0
15,100000000.0
16,100000000.0
17,100000000.0
18,100000000.0
19,100025525.95784038
20,101328197.61106561
21,102708418.3199545
22,103404947.23457551
23,105308053.22950387
24,105255094.78666022
25,103707160.0222827
26,103707160.0222827
27,103707160.0222827
28,103707160.0222827
29,103298103.0796604
30,105266051.58333546
31,111161721.23963287
32,110309277.03423248
33,110309277.03423248
34,110309277.03423248
35,110309277.03423248
36,110309277.03423248
37,110309277.03423248
38,110309277.03423248
39,110309277.03423248
40,110309277.03423248
41,110309277.03423248
42,110309277.03423248
43,110309277.03423248
44,110309277.03423248
45,110309277.03423248
46,110309277.03423248
47,110309277.03423248
48,110309277.03423248
49,110309277.03423248
50,110309277.03423248
51,110309277.03423248
52,110309277.03423248
53,110309277.03423248
54,110309277.03423248
55,113507229.94397113
56,116430628.03118142
57,116551264.23855479
58,116551264.23855479
59,116551264.23855479
60,115492967.45943023
61,115309790.95517258
62,115390444.99657004
63,113427200.27349786
64,113427200.27349786
65,113427200.27349786
66,113427200.27349786
67,113427200.27349786
68,113427200.27349786
69,113427200.27349786
70,113427200.27349786
71,113427200.27349786
72,113427200.27349786
73,113427200.27349786
74,113427200.27349786
75,113427200.27349786
76,113427200.27349786
77,113427200.27349786
78,113427200.27349786
79,113784336.95253885
80,112515453.30564423
81,110851181.06470515
82,114282798.21166532
83,112902579.44492619
84,112120955.11260712
85,114262093.472084
86,114924369.07549241
87,112069844.53949976
88,111615250.11078766
89,112990285.88825695
90,112435663.26602946
91,110911899.41462106
92,110930543.40077926
93,112461854.2755731
94,113143551.50794095
95,113216304.02018075
96,113216304.02018075
97,113216304.02018075
98,113216304.02018075
99,113216304.02018075
100,113216304.02018075
101,113216304.02018075
102,113216304.02018075
103,113216304.02018075
104,113216304.02018075
105,113216304.02018075
106,113216304.02018075
107,113216304.02018075
108,113216304.02018075
109,113216304.02018075
110,113216304.02018075
111,113216304.02018075
112,113216304.02018075
113,113216304.02018075
114,113216304.02018075
115,113640922.26253869
116,112961600.57387877
117,115465301.9337362
118,115313469.01994748
119,115313469.01994748
120,115313469.01994748
121,115440591.57636328
122,112461837.74440154
123,112265009.82025276
124,111769391.74747215
125,111863655.52688052
126,112353829.48013619
127,112800059.42071936
128,112624908.29360864
129,112397781.16058265
130,111116604.37469064
131,111116604.37469064
132,111116604.37469064
133,111507013.09678994
134,112404196.43811521
135,112945692.5282946
136,113221808.39283447
137,113085921.04371613
138,113521625.71804115
139,112759037.75782906
140,111846208.53015514
141,110272453.07467827
142,108490540.8097922
143,106694191.72912745
144,105810303.27799873
145,106799081.0742915
146,106042421.16633488
147,107580314.4386586
148,106902545.64433818
149,107347963.42733006
150,107611010.23988545
151,107917746.5942269
152,110182945.38590871
153,110064671.77331297
154,110077264.23659018
155,110195931.48309109
156,110730566.58177534
157,109327182.70406163
158,109327182.70406163
159,109327182.70406163
160,109327182.70406163
161,109327182.70406163
162,109327182.70406163
163,109327182.70406163
164,109327182.70406163
165,109327182.70406163
166,109327182.70406163
167,109327182.70406163
168,109327182.70406163
169,109327182.70406163
170,109327182.70406163
171,109327182.70406163
172,109327182.70406163
173,109327182.70406163
174,109327182.70406163
175,109327182.70406163
176,109327182.70406163
177,109327182.70406163
178,109327182.70406163
179,109327182.70406163
180,109327182.70406163
181,109327182.70406163
182,109327182.70406163
183,109327182.70406163
184,110114646.70843941
185,111083855.33149076
186,112362461.20334187
187,111733479.7273607
188,111272749.6288298
189,111221265.60387376
190,109757176.03653999
191,109812335.89087905
192,110363785.0103109
193,109887081.49059936
194,109861033.15900609
195,110384435.40139762
196,111322709.52940752
197,110356168.12401825
198,109801241.1619486
199,109417789.39923729
200,110506458.7416377
201,111152444.6641143
202,111752766.62482463
203,111268382.713638
204,111272824.34080914
205,110730060.48897435
206,108704981.0824483
207,108886105.33393706
208,108419620.88513783
209,108419620.88513783
210,108419620.88513783
211,108419620.88513783
212,108419620.88513783
213,108419620.88513783
214,108419620.88513783
215,108419620.88513783
216,109082858.94566688
217,109116317.5873205
218,108971226.29349943
219,108464455.86657752
220,107799633.33254868
221,107943238.24291736
222,108276983.87689473
223,107921857.75426288
224,107921857.75426288
225,108175702.5192359
226,108267231.6636867
227,108372665.33298348
228,108636476.10948898
229,108204269.45282987
230,109196354.5257112
231,109811427.37593411
232,111210728.13689311
233,110901848.8917085
234,110901848.8917085
235,110901848.8917085
236,110901848.8917085
237,110901848.8917085
238,110901848.8917085
239,110901848.8917085
240,110901848.8917085
241,110901848.8917085
242,110901848.8917085
