,收盘价(元)
0,2514.8682
1,2533.0887
2,2526.4622
3,2544.3449
4,2535.0985
5,2553.8313
6,2535.7653
7,2570.3449
8,2570.4221
9,2559.637
10,2596.0056
11,2610.5094
12,2579.7041
13,2581.0041
14,2591.6935
15,2601.7234
16,2596.9767
17,2594.2536
18,2575.5756
19,2584.5724
20,2618.2323
21,2653.896
22,2671.8937
23,2721.0683
24,2719.6999
25,2682.385
26,2754.3566
27,2755.6459
28,2761.2189
29,2751.8012
30,2804.2262
31,2961.2834
32,2941.5163
33,2953.8242
34,2940.9538
35,2994.005
36,3027.5755
37,3054.2466
38,3102.0991
39,3106.4179
40,2969.8614
41,3026.9925
42,3060.3073
43,3026.9513
44,2990.685
45,3021.7512
46,3096.4176
47,3090.975
48,3090.6403
49,3101.455
50,3104.1487
51,3043.0313
52,2997.0954
53,3022.7196
54,2994.9434
55,3090.758
56,3170.361
57,3176.8227
58,3216.2952
59,3246.5714
60,3244.8103
61,3239.6639
62,3241.9299
63,3189.9619
64,3188.6256
65,3177.7866
66,3253.5978
67,3263.1179
68,3250.2012
69,3270.7973
70,3270.7973
71,3215.0426
72,3198.5938
73,3201.6137
74,3123.8261
75,3086.3989
76,3062.4985
77,3078.3389
78,2906.464
79,2926.3908
80,2893.7567
81,2850.9537
82,2939.2106
83,2903.7131
84,2883.6107
85,2938.6781
86,2955.711
87,2882.2962
88,2870.6046
89,2905.9688
90,2891.7046
91,2852.5153
92,2852.9948
93,2892.3782
94,2909.9106
95,2914.6964
96,2905.8054
97,2898.6961
98,2890.0809
99,2862.2803
100,2861.4181
101,2827.7978
102,2852.1302
103,2925.7162
104,2909.3796
105,2910.7406
106,2881.9743
107,2887.6221
108,2890.158
109,2917.8029
110,2987.1186
111,3001.9802
112,3008.1479
113,2982.0738
114,2976.2837
115,2996.7926
116,2978.8784
117,3044.9028
118,3043.9428
119,3015.2633
120,3005.2488
121,3011.0588
122,2933.3634
123,2928.2295
124,2915.3022
125,2917.7609
126,2930.5462
127,2942.1853
128,2937.6168
129,2931.6926
130,2901.1766
131,2924.2006
132,2886.974
133,2899.9446
134,2923.2775
135,2937.3601
136,2944.541
137,2941.007
138,2952.3383
139,2932.5058
140,2908.766
141,2867.8376
142,2821.4957
143,2777.5559
144,2768.6795
145,2794.5523
146,2774.7532
147,2814.9944
148,2797.2596
149,2808.9146
150,2815.7976
151,2823.8238
152,2883.096
153,2880.0012
154,2880.3307
155,2883.4358
156,2897.4253
157,2863.5673
158,2902.1932
159,2893.7564
160,2890.9192
161,2886.2365
162,2924.1063
163,2930.1538
164,2957.4116
165,2985.8648
166,2999.6013
167,3024.7388
168,3021.2024
169,3008.8118
170,3031.2351
171,3030.7544
172,2978.1178
173,2985.6586
174,2999.2789
175,3006.4467
176,2977.0767
177,2985.3406
178,2955.4325
179,2929.0875
180,2932.167
181,2905.1892
182,2913.5704
183,2924.8566
184,2947.7106
185,2973.6558
186,3007.8834
187,2991.0459
188,2978.7124
189,2977.3342
190,2938.1413
191,2939.6179
192,2954.3799
193,2941.6188
194,2940.9215
195,2954.9327
196,2980.0498
197,2954.176
198,2939.3209
199,2929.0561
200,2958.1992
201,2975.4919
202,2991.5622
203,2978.5955
204,2978.7144
205,2964.1849
206,2909.9746
207,2914.8232
208,2905.2409
209,2909.8697
210,2891.3431
211,2909.2002
212,2933.9908
213,2911.0534
214,2903.6379
215,2885.2884
216,2906.1688
217,2907.0602
218,2903.1947
219,2889.6934
220,2871.9813
221,2875.8072
222,2884.6988
223,2878.1157
224,2899.4685
225,2912.0136
226,2914.4775
227,2917.3157
228,2924.4173
229,2915.6983
230,2967.6764
231,2984.3925
232,3022.4219
233,3017.0444
234,3017.0658
235,3004.9376
236,2962.7513
237,2982.6806
238,2981.8805
239,3007.3546
240,3005.0355
241,3040.0239
242,3050.124
