,收盘价(元)
0,3385.71
1,3391.75
2,3409.48
3,3413.9
4,3421.834
5,3425.345
6,3428.941
7,3410.488
8,3436.594
9,3444.671
10,3474.754
11,3487.864
12,3501.362
13,3546.505
14,3559.465
15,3548.307
16,3558.129
17,3523.001
18,3488.009
19,3480.833
20,3446.98
21,3462.081
22,3487.497
23,3370.652
24,3309.26
25,3262.05
26,3129.851
27,3154.125
28,3184.959
29,3199.159
30,3268.559
31,3289.024
32,3329.574
33,3292.068
34,3259.408
35,3273.755
36,3254.528
37,3256.926
38,3289.642
39,3271.668
40,3288.406
41,3307.166
42,3326.699
43,3310.239
44,3291.382
45,3291.112
46,3269.882
47,3279.252
48,3290.64
49,3280.952
50,3263.48
51,3152.761
52,3133.722
53,3166.649
54,3122.29
55,3160.531
56,3168.897
57,3163.179
58,3136.633
59,3131.111
60,3138.294
61,3190.322
62,3208.082
63,3180.158
64,3159.052
65,3110.649
66,3066.797
67,3091.399
68,3117.376
69,3071.543
70,3068.012
71,3128.927
72,3117.974
73,3075.03
74,3082.232
75,3081.177
76,3100.859
77,3091.033
78,3136.645
79,3161.498
80,3159.15
81,3174.413
82,3163.263
83,3174.032
84,3192.118
85,3169.565
86,3154.283
87,3193.303
88,3213.84
89,3214.35
90,3168.964
91,3154.651
92,3141.303
93,3135.082
94,3120.461
95,3041.443
96,3095.474
97,3075.137
98,3091.191
99,3114.206
100,3115.18
101,3109.499
102,3067.148
103,3052.783
104,3079.802
105,3049.797
106,3044.16
107,3021.901
108,2907.822
109,2915.731
110,2875.81
111,2889.76
112,2859.336
113,2844.508
114,2813.178
115,2786.897
116,2847.418
117,2775.557
118,2786.888
119,2759.126
120,2733.882
121,2747.229
122,2815.11
123,2827.625
124,2777.771
125,2837.659
126,2831.184
127,2814.042
128,2798.126
129,2787.257
130,2772.545
131,2829.271
132,2859.542
133,2905.562
134,2903.647
135,2882.225
136,2873.594
137,2869.05
138,2876.401
139,2824.534
140,2768.024
141,2740.443
142,2705.157
143,2779.374
144,2744.07
145,2794.382
146,2795.31
147,2785.872
148,2780.965
149,2723.258
150,2705.192
151,2668.966
152,2668.966
153,2698.466
154,2733.826
155,2714.608
156,2724.624
157,2729.431
158,2780.899
159,2777.981
160,2769.295
161,2737.737
162,2725.25
163,2720.734
164,2750.58
165,2704.337
166,2691.593
167,2702.301
168,2669.485
169,2664.8
170,2656.11
171,2686.578
172,2681.643
173,2651.789
174,2699.95
175,2730.85
176,2729.244
177,2797.485
178,2781.139
179,2806.813
180,2791.775
181,2821.35
182,2716.51
183,2721.013
184,2725.837
185,2583.458
186,2606.913
187,2568.098
188,2546.33
189,2561.614
190,2486.419
191,2550.465
192,2654.876
193,2594.826
194,2603.295
195,2603.8
196,2598.847
197,2542.103
198,2568.048
199,2602.783
200,2606.237
201,2676.476
202,2665.431
203,2659.356
204,2641.342
205,2635.632
206,2598.872
207,2630.52
208,2654.88
209,2632.2425
210,2668.1704
211,2679.1097
212,2703.5116
213,2645.8545
214,2651.5053
215,2645.4339
216,2579.4831
217,2575.8101
218,2574.6792
219,2601.7365
220,2567.4434
221,2588.1875
222,2654.798
223,2665.9577
224,2649.8051
225,2605.1813
226,2605.8876
227,2584.5822
228,2594.0881
229,2602.1526
230,2634.0491
231,2593.7407
232,2597.9737
233,2576.6495
234,2549.5634
235,2536.2675
236,2516.2506
237,2527.0071
238,2504.819
239,2498.2939
240,2483.0864
241,2493.8962
