,交易类型,日期,开盘价,收盘价,现金,股数,成本,持仓
0,正常买入,2022-01-07,3588.9851,3579.5427,1.4901161193847656e-08,27835.19494134983,99999999.99999999,27835.19494134983
1,正常卖出,2022-01-11,3589.9043,3567.4409,99201112.48035125,27835.19494134983,99999999.99999999,0.0
2,正常买入,2022-01-12,3578.1629,3597.4321,1.4901161193847656e-08,27696.338383554696,99201112.48035124,27696.338383554696
3,正常卖出,2022-02-08,3428.5424,3452.6288,95529550.38204879,27696.338383554696,99201112.48035124,0.0
4,正常买入,2022-02-16,3457.073,3465.8305,0.0,27605.46747661476,95529550.38204879,27605.46747661476
5,正常卖出,2022-02-21,3488.4057,3490.6123,96263624.3368003,27605.46747661476,95529550.38204879,0.0
6,正常买入,2022-02-23,3458.5139,3489.1465,0.0,27806.00560255675,96263624.3368003,27806.00560255675
7,正常卖出,2022-02-24,3474.3692,3429.9564,95278013.48805045,27806.00560255675,96263624.3368003,0.0
8,正常买入,2022-02-28,3450.3155,3462.3064,0.0,27586.703493461122,95278013.48805045,27586.703493461122
9,正常卖出,2022-03-09,3303.706,3256.3884,89743188.22909592,27586.703493461122,95278013.48805045,0.0
10,正常买入,2022-03-16,3107.669,3170.7103,0.0,28849.12604733694,89743188.22909592,28849.12604733694
11,正常卖出,2022-03-29,3216.0118,3203.9393,92338417.86500277,28849.12604733694,89743188.22909592,0.0
12,正常买入,2022-03-31,3256.1369,3252.2029,0.0,28329.942667124797,92338417.86500277,28329.942667124797
13,正常卖出,2022-04-07,3267.8103,3236.6951,91603691.22734979,28329.942667124797,92338417.86500277,0.0
14,正常买入,2022-04-14,3203.6337,3225.6412,0.0,28565.119366893134,91603691.22734979,28565.119366893134
15,正常卖出,2022-04-21,3138.4276,3079.8077,87887099.50299902,28565.119366893134,91603691.22734979,0.0
16,正常买入,2022-04-29,2986.0606,3047.0624,0.0,29403.05370989331,87887099.50299902,29403.05370989331
17,正常卖出,2022-05-06,3011.3187,3001.5605,88166789.55039923,29403.05370989331,87887099.50299902,0.0
18,正常买入,2022-05-17,3076.4982,3093.6965,0.0,28629.534332105144,88166789.55039923,28629.534332105144
19,正常卖出,2022-05-23,3150.4898,3146.8573,90002966.04947712,28629.534332105144,88166789.55039923,0.0
20,正常买入,2022-06-02,3170.3055,3195.458,1.4901161193847656e-08,28361.005901948767,90002966.0494771,28361.005901948767
21,正常卖出,2022-06-09,3259.4899,3238.9543,91768142.01642391,28361.005901948767,90002966.0494771,0.0
22,正常买入,2022-06-17,3265.5124,3316.7857,0.0,28074.14406108917,91768142.01642391,28074.14406108917
23,正常卖出,2022-07-11,3341.1016,3313.584,92933008.53994557,28074.14406108917,91768142.01642391,0.0
24,正常买入,2022-07-18,3235.0881,3278.1033,1.4901161193847656e-08,28697.87947090962,92933008.53994556,28697.87947090962
25,正常卖出,2022-07-22,3276.1966,3269.9739,93747475.53836505,28697.87947090962,92933008.53994556,0.0
26,正常买入,2022-07-26,3254.1852,3277.4356,0.0,28779.499616877496,93747475.53836505,28779.499616877496
27,正常卖出,2022-08-02,3231.2621,3186.2664,91607453.48543158,28779.499616877496,93747475.53836505,0.0
28,正常买入,2022-08-22,3249.7046,3277.7943,1.4901161193847656e-08,28161.309661156185,91607453.48543157,28161.309661156185
29,正常卖出,2022-09-14,3224.6783,3237.5419,91082246.56688109,28161.309661156185,91607453.48543157,0.0
30,正常买入,2022-09-20,3127.8356,3122.4058,0.0,29090.804936029737,91082246.56688109,29090.804936029737
31,正常卖出,2022-09-30,3042.1664,3024.3905,87893972.13179556,29090.804936029737,91082246.56688109,0.0
32,正常买入,2022-10-12,2976.7168,3025.5055,0.0,29497.655257574294,87893972.13179556,29497.655257574294
33,正常卖出,2022-10-17,3060.5176,3084.9423,90907565.89045343,29497.655257574294,87893972.13179556,0.0
34,正常买入,2022-11-02,2960.6465,3003.3699,0.0,30674.63445612711,90907565.89045343,30674.63445612711
35,正常卖出,2022-11-03,2981.2038,2997.8057,91864637.42397626,30674.63445612711,90907565.89045343,0.0
36,正常买入,2022-11-04,2996.9971,3070.7964,-1.4901161193847656e-08,30621.606060084894,91864637.42397627,30621.606060084894
37,正常卖出,2022-11-16,3133.6504,3119.9804,95443271.91326208,30621.606060084894,91864637.42397627,0.0
38,正常买入,2022-11-22,3084.2328,3088.9426,0.0,30914.632640335323,95443271.91326208,30914.632640335323
39,正常卖出,2022-11-28,3055.2899,3078.5485,95077023.74701239,30914.632640335323,95443271.91326208,0.0
40,正常买入,2022-12-05,3181.9155,3211.8144,0.0,29850.585820178785,95077023.74701239,29850.585820178785
41,正常卖出,2022-12-12,3195.868,3179.0417,94801360.8346853,29850.585820178785,95077023.74701239,0.0
42,正常买入,2022-12-21,3078.3312,3068.4105,0.0,30765.58304723832,94801360.8346853,30765.58304723832
43,正常卖出,2022-12-23,3038.8416,3045.8664,93614147.82431282,30765.58304723832,94801360.8346853,0.0
44,正常买入,2022-12-27,3077.7469,3095.5678,0.0,30386.06819719832,93614147.82431282,30386.06819719832
45,正常卖出,2022-12-28,3088.6174,3087.3997,93720123.89837343,30386.06819719832,93614147.82431282,0.0
