,交易类型,日期,开盘价,收盘价,现金,股数,成本,持仓
0,正常买入,2024-01-12,2880.0399,2881.9769,1.4901161193847656e-08,34687.05412730563,99999999.99999999,34687.05412730563
1,正常卖出,2024-01-15,2872.5562,2886.2908,100016808.28153753,34687.05412730563,99999999.99999999,0.0
2,正常买入,2024-01-18,2822.6672,2845.7839,1.4901161193847656e-08,35398.0417493594,100016808.28153752,35398.0417493594
3,正常卖出,2024-01-30,2866.2795,2830.5266,100094903.66071287,35398.0417493594,100016808.28153752,0.0
4,正常买入,2024-02-06,2680.4846,2789.486,0.0,37304.78763129657,100094903.66071287,37304.78763129657
5,正常卖出,2024-02-20,2902.8765,2922.7302,108922797.58516237,37304.78763129657,100094903.66071287,0.0
6,正常买入,2024-02-23,2992.9115,3004.881,0.0,36357.23395147528,108922797.58516237,36357.23395147528
7,正常卖出,2024-03-06,3041.7518,3039.9309,110412955.44869119,36357.23395147528,108922797.58516237,0.0
8,正常买入,2024-03-08,3026.1654,3046.0192,0.0,36449.64442323454,110412955.44869119,36449.64442323454
9,正常卖出,2024-03-19,3077.9805,3062.7558,111524723.50533403,36449.64442323454,110412955.44869119,0.0
10,正常买入,2024-03-26,3026.9218,3031.4809,0.0,36807.462351732676,111524723.50533403,36807.462351732676
11,正常卖出,2024-03-27,3026.8138,2993.1388,110059673.85081582,36807.462351732676,111524723.50533403,0.0
12,正常买入,2024-04-11,3013.5727,3034.2464,0.0,36484.842103423995,110059673.85081582,36484.842103423995
13,正常卖出,2024-04-16,3043.5505,3007.0681,109602692.41792046,36484.842103423995,110059673.85081582,0.0
14,正常买入,2024-04-18,3060.0309,3074.2246,1.4901161193847656e-08,35781.729922629784,109602692.41792044,35781.729922629784
15,正常卖出,2024-04-30,3110.1594,3104.8245,110984895.72444792,35781.729922629784,109602692.41792044,0.0
16,正常买入,2024-05-10,3158.5891,3154.5472,-1.4901161193847656e-08,35102.38850084843,110984895.72444794,35102.38850084843
17,正常卖出,2024-05-13,3139.4753,3148.0207,110392542.5744927,35102.38850084843,110984895.72444794,0.0
18,正常买入,2024-05-14,3148.8488,3145.7743,0.0,35023.04090122667,110392542.5744927,35023.04090122667
19,正常卖出,2024-05-21,3164.6826,3157.9657,110490960.31389514,35023.04090122667,110392542.5744927,0.0
20,正常买入,2024-05-27,3094.14,3124.0427,0.0,35674.074131797846,110490960.31389514,35674.074131797846
21,正常卖出,2024-06-03,3085.9814,3078.4887,109712411.86360428,35674.074131797846,110490960.31389514,0.0
22,正常买入,2024-06-07,3053.9153,3051.2787,-1.4901161193847656e-08,35889.27599090576,109712411.86360429,35889.27599090576
23,正常卖出,2024-06-25,2962.7654,2949.9963,105767358.15146795,35889.27599090576,109712411.86360429,0.0
24,正常买入,2024-07-09,2919.5729,2959.3724,1.4901161193847656e-08,36190.806009677966,105767358.15146793,36190.806009677966
25,正常卖出,2024-07-23,2960.5004,2915.3685,105404026.29439563,36190.806009677966,105767358.15146793,0.0
26,正常买入,2024-07-29,2889.4726,2891.8453,1.4901161193847656e-08,36442.1962564479,105404026.29439561,36442.1962564479
27,正常卖出,2024-07-30,2885.2152,2879.2996,104823073.10320765,36442.1962564479,105404026.29439561,0.0
28,正常买入,2024-08-09,2879.8726,2862.1941,0.0,36362.148363250235,104823073.10320765,36362.148363250235
29,正常卖出,2024-08-12,2858.8946,2858.2046,103826529.25800657,36362.148363250235,104823073.10320765,0.0
30,正常买入,2024-08-23,2844.7703,2854.3675,0.0,36460.87223687446,103826529.25800657,36460.87223687446
31,正常卖出,2024-09-02,2832.3499,2811.035,102390295.200394,36460.87223687446,103826529.25800657,0.0
32,正常买入,2024-09-10,2737.881,2744.1921,-1.4901161193847656e-08,37360.28234726083,102390295.20039402,37360.28234726083
33,正常卖出,2024-09-13,2718.9864,2704.0896,100924525.39734328,37360.28234726083,102390295.20039402,0.0
34,正常买入,2024-09-19,2723.2053,2736.0222,1.4901161193847656e-08,37023.90770745328,100924525.39734326,37023.90770745328
35,正常卖出,2024-10-08,3674.4048,3489.7751,129075906.1109464,37023.90770745328,100924525.39734326,0.0
36,正常买入,2024-10-14,3241.4275,3284.3225,0.0,39780.917250746665,129075906.1109464,39780.917250746665
37,正常卖出,2024-10-24,3287.8243,3280.2625,130361359.22215416,39780.917250746665,129075906.1109464,0.0
38,正常买入,2024-11-04,3275.6787,3310.2072,1.4901161193847656e-08,39756.990847136534,130361359.22215414,39756.990847136534
39,正常卖出,2024-11-08,3502.1331,3452.2971,137115691.26208973,39756.990847136534,130361359.22215414,0.0
40,正常买入,2024-11-18,3344.6904,3323.8486,0.0,40954.078305585535,137115691.26208973,40954.078305585535
41,正常卖出,2024-11-28,3308.2797,3295.6983,134837313.96353534,40954.078305585535,137115691.26208973,0.0
42,正常买入,2024-12-02,3328.482,3363.9823,-2.9802322387695312e-08,40469.682982267346,134837313.96353537,40469.682982267346
43,正常卖出,2024-12-09,3402.6288,3402.5343,137561784.9728336,40469.682982267346,134837313.96353537,0.0
44,正常买入,2024-12-10,3490.2892,3422.6607,-2.9802322387695312e-08,39373.344940075855,137561784.97283363,39373.344940075855
45,正常卖出,2024-12-13,3442.9259,3391.8782,133416040.77296025,39373.344940075855,137561784.97283363,0.0
46,正常买入,2024-12-20,3364.481,3368.0693,0.0,39614.65617280802,133416040.77296025,39614.65617280802
47,正常卖出,2024-12-25,3395.1072,3393.3501,134291971.08797824,39614.65617280802,133416040.77296025,0.0
