,交易类型,日期,开盘价,收盘价,现金,股数,成本,持仓
0,正常买入,2021-01-07,3552.9087,3576.2046,0.0,28117.83480394526,100000000.0,28117.83480394526
1,正常卖出,2021-01-11,3571.3212,3531.4978,99198773.67914523,28117.83480394526,100000000.0,0.0
2,正常买入,2021-01-18,3554.7977,3596.2237,0.0,27877.725363989095,99198773.67914523,27877.725363989095
3,正常卖出,2021-01-26,3610.9686,3569.429,99408053.80688998,27877.725363989095,99198773.67914523,0.0
4,正常买入,2021-02-25,3595.5424,3585.0458,0.0,27619.96216810798,99408053.80688998,27619.96216810798
5,正常卖出,2021-02-26,3514.5648,3509.0804,96823747.22495638,27619.96216810798,99408053.80688998,0.0
6,正常买入,2021-03-18,3449.6413,3463.0681,0.0,28039.732770114864,96823747.22495638,28039.732770114864
7,正常卖出,2021-03-31,3452.2078,3441.9115,96413768.39970683,28039.732770114864,96823747.22495638,0.0
8,正常买入,2021-04-22,3482.8328,3465.1138,-1.4901161193847656e-08,27654.91669561573,96413768.39970684,27654.91669561573
9,正常卖出,2021-04-30,3468.3022,3446.8564,95227204.07714619,27654.91669561573,96413768.39970684,0.0
10,正常买入,2021-05-10,3423.5896,3427.9909,0.0,27787.23010641844,95227204.07714619,27787.23010641844
11,正常卖出,2021-05-19,3521.1097,3510.9647,97462424.03039798,27787.23010641844,95227204.07714619,0.0
12,正常买入,2021-05-27,3585.7337,3608.8507,0.0,27153.45508547569,97462424.03039798,27153.45508547569
13,正常卖出,2021-06-02,3626.3283,3597.1379,97577047.68150844,27153.45508547569,97462424.03039798,0.0
14,正常买入,2021-06-10,3587.5282,3610.859,0.0,27171.791461707548,97577047.68150844,27171.791461707548
15,正常卖出,2021-06-16,3556.7139,3518.3292,95503708.00872031,27171.791461707548,97577047.68150844,0.0
16,正常买入,2021-06-23,3559.3988,3566.2199,0.0,26804.610854229457,95503708.00872031,26804.610854229457
17,正常卖出,2021-07-06,3533.1304,3530.2589,94532588.81315096,26804.610854229457,95503708.00872031,0.0
18,正常买入,2021-07-12,3545.1977,3547.8362,0.0,26638.331245247187,94532588.81315096,26638.331245247187
19,正常卖出,2021-07-26,3538.0143,3467.4409,92274472.4282505,26638.331245247187,94532588.81315096,0.0
20,正常买入,2021-07-29,3403.8383,3411.724,1.4901161193847656e-08,27081.86523963621,92274472.42825049,27081.86523963621
21,正常卖出,2021-08-03,3446.7841,3447.9914,93284660.40378237,27081.86523963621,92274472.42825049,0.0
22,正常买入,2021-08-09,3441.7502,3494.6348,0.0,27076.76720258418,93284660.40378237,27076.76720258418
23,正常卖出,2021-08-20,3442.5062,3427.3338,92708318.30872005,27076.76720258418,93284660.40378237,0.0
24,正常买入,2021-09-02,3559.9025,3597.0426,0.0,26016.35932616524,92708318.30872005,26016.35932616524
25,正常卖出,2021-09-14,3709.6336,3662.6015,95192269.13585924,26016.35932616524,92708318.30872005,0.0
26,正常买入,2021-09-15,3651.1583,3656.2232,0.0,26045.7542922462,95192269.13585924,26045.7542922462
27,正常卖出,2021-09-24,3637.8677,3613.0673,94010958.07401225,26045.7542922462,95192269.13585924,0.0
28,正常买入,2021-11-30,3570.7468,3563.8872,0.0,26301.792396195462,94010958.07401225,26301.792396195462
29,正常卖出,2021-12-06,3615.2356,3589.3061,94310778.70470938,26301.792396195462,94010958.07401225,0.0
30,正常买入,2021-12-13,3686.9368,3681.082,0.0,25554.157083074173,94310778.70470938,25554.157083074173
31,正常卖出,2021-12-17,3670.2578,3632.3638,92729173.13294415,25554.157083074173,94310778.70470938,0.0
32,正常买入,2021-12-23,3625.4695,3643.3391,0.0,25551.597274876483,92729173.13294415,25551.597274876483
33,正常卖出,2021-12-29,3630.9159,3597.0002,91817191.40754211,25551.597274876483,92729173.13294415,0.0
