,收盘价(元)
0,3158.794
1,3165.411
2,3154.321
3,3171.236
4,3161.671
5,3136.754
6,3119.289
7,3112.764
8,3103.428
9,3108.775
10,3113.012
11,3101.299
12,3123.139
13,3136.775
14,3142.553
15,3149.555
16,3159.166
17,3140.17
18,3156.984
19,3153.088
20,3166.982
21,3183.179
22,3196.699
23,3216.839
24,3217.928
25,3212.986
26,3229.618
27,3202.076
28,3239.961
29,3239.961
30,3253.326
31,3261.218
32,3251.375
33,3253.433
34,3228.66
35,3241.733
36,3246.934
37,3230.028
38,3218.312
39,3233.866
40,3242.406
41,3240.665
42,3216.746
43,3212.76
44,3237.024
45,3239.328
46,3241.76
47,3268.935
48,3237.447
49,3250.808
50,3261.611
51,3245.22
52,3248.55
53,3269.445
54,3266.955
55,3252.948
56,3241.314
57,3210.237
58,3222.514
59,3270.305
60,3281.005
61,3286.616
62,3269.393
63,3288.966
64,3273.83
65,3275.96
66,3246.067
67,3222.167
68,3196.713
69,3170.687
70,3172.1
71,3173.151
72,3129.531
73,3134.567
74,3140.847
75,3152.187
76,3154.658
77,3143.712
78,3135.346
79,3127.369
80,3103.038
81,3078.613
82,3080.527
83,3052.785
84,3061.5
85,3083.513
86,3090.229
87,3112.964
88,3104.442
89,3090.139
90,3090.631
91,3075.676
92,3061.947
93,3064.076
94,3107.831
95,3110.059
96,3117.178
97,3102.623
98,3105.54
99,3091.656
100,3102.126
101,3140.325
102,3150.334
103,3158.4
104,3139.877
105,3153.743
106,3130.674
107,3132.486
108,3123.166
109,3144.374
110,3140.014
111,3156.212
112,3147.453
113,3157.873
114,3185.444
115,3191.197
116,3173.201
117,3188.063
118,3192.427
119,3195.912
120,3182.804
121,3207.134
122,3212.444
123,3217.957
124,3212.632
125,3203.038
126,3197.544
127,3218.163
128,3222.417
129,3176.465
130,3187.567
131,3230.976
132,3244.865
133,3237.982
134,3250.599
135,3243.689
136,3247.675
137,3249.781
138,3253.24
139,3273.028
140,3292.638
141,3285.057
142,3272.929
143,3262.081
144,3279.457
145,3281.873
146,3275.573
147,3261.749
148,3208.541
149,3237.36
150,3251.262
151,3246.451
152,3268.43
153,3268.724
154,3286.906
155,3290.226
156,3287.705
157,3271.512
158,3331.522
159,3362.651
160,3365.226
161,3363.627
162,3360.81
163,3367.119
164,3379.583
165,3384.317
166,3385.389
167,3365.497
168,3365.243
169,3376.419
170,3379.488
171,3384.147
172,3371.426
173,3353.619
174,3362.859
175,3356.845
176,3365.996
177,3357.812
178,3352.529
179,3341.549
180,3343.583
181,3345.272
182,3339.642
183,3348.943
184,3374.378
185,3382.988
186,3388.284
187,3386.1
188,3390.523
189,3378.47
190,3372.041
191,3381.794
192,3370.172
193,3378.648
194,3380.699
195,3388.248
196,3396.898
197,3407.567
198,3416.812
199,3390.337
200,3393.342
201,3395.913
202,3383.31
203,3371.744
204,3388.174
205,3413.575
206,3415.46
207,3427.795
208,3432.673
209,3447.836
210,3429.548
211,3402.525
212,3399.25
213,3382.908
214,3392.399
215,3410.498
216,3430.464
217,3351.918
218,3353.821
219,3322.23
220,3333.657
221,3337.862
222,3317.188
223,3317.617
224,3309.618
225,3303.675
226,3293.965
227,3272.054
228,3289.992
229,3322.196
230,3280.814
231,3303.037
232,3292.439
233,3266.137
234,3267.922
235,3296.538
236,3287.606
237,3300.059
238,3297.063
239,3280.461
240,3306.125
241,3275.783
242,3296.385
243,3307.172
