,收盘价(元)
0,3502.9584
1,3528.6767
2,3550.8767
3,3576.2046
4,3570.1082
5,3531.4978
6,3608.3389
7,3598.6518
8,3565.9046
9,3566.3778
10,3596.2237
11,3566.3814
12,3583.092
13,3621.2641
14,3606.7496
15,3624.2381
16,3569.429
17,3573.3412
18,3505.1759
19,3483.0692
20,3505.2836
21,3533.6849
22,3517.308
23,3501.8592
24,3496.3329
25,3532.4467
26,3532.4467
27,3603.489
28,3655.088
29,3675.3571
30,3675.3571
31,3696.168
32,3642.4449
33,3636.3573
34,3564.0799
35,3585.0458
36,3509.0804
37,3551.3998
38,3508.5912
39,3576.9045
40,3503.4916
41,3501.9867
42,3421.4141
43,3359.292
44,3357.7372
45,3436.8313
46,3453.0777
47,3419.9456
48,3446.7334
49,3445.5509
50,3463.0681
51,3404.6634
52,3443.4392
53,3411.5088
54,3367.0606
55,3363.5915
56,3418.3267
57,3435.2958
58,3456.6766
59,3441.9115
60,3466.3315
61,3484.3924
62,3482.9674
63,3479.6256
64,3482.5548
65,3450.6772
66,3412.9477
67,3396.47
68,3416.7212
69,3398.9875
70,3426.6178
71,3477.5485
72,3472.9427
73,3472.9298
74,3465.1138
75,3474.166
76,3441.1658
77,3442.6111
78,3457.0683
79,3474.9011
80,3446.8564
81,3441.2826
82,3418.8741
83,3427.9909
84,3441.8454
85,3462.7513
86,3429.5361
87,3490.3762
88,3517.6158
89,3517.6158
90,3529.0144
91,3510.9647
92,3506.9444
93,3486.5569
94,3497.2821
95,3581.3418
96,3593.357
97,3608.8507
98,3600.7844
99,3615.4773
100,3624.7138
101,3597.1379
102,3584.2121
103,3591.8447
104,3599.541
105,3580.1063
106,3591.3965
107,3610.859
108,3589.7481
109,3556.559
110,3518.3292
111,3525.6042
112,3525.0968
113,3529.1826
114,3557.412
115,3566.2199
116,3566.6539
117,3607.5618
118,3606.3722
119,3573.1779
120,3591.197
121,3588.7816
122,3518.7595
123,3534.3222
124,3530.2589
125,3553.7155
126,3525.5039
127,3524.0881
128,3547.8362
129,3566.5225
130,3528.5011
131,3564.5902
132,3539.3038
133,3539.1225
134,3536.7905
135,3562.6611
136,3574.7344
137,3550.3964
138,3467.4409
139,3381.1833
140,3361.5895
141,3411.724
142,3397.3574
143,3464.2854
144,3464.2854
145,3447.9914
146,3477.2186
147,3466.5491
148,3458.2277
149,3494.6348
150,3529.9309
151,3532.6213
152,3524.7374
153,3516.2989
154,3517.3447
155,3446.976
156,3485.2859
157,3465.5546
158,3427.3338
159,3477.1321
160,3514.471
161,3540.3837
162,3501.6643
163,3522.1567
164,3528.1512
165,3543.9402
166,3567.1008
167,3597.0426
168,3581.7344
169,3621.8593
170,3676.5866
171,3675.1865
172,3693.1296
173,3703.1103
174,3715.3723
175,3662.6015
176,3656.2232
177,3607.0922
178,3613.9663
179,3628.4897
180,3642.2204
181,3613.0673
182,3582.8307
183,3602.2184
184,3536.2944
185,3568.1668
186,3592.1666
187,3591.7087
188,3546.9362
189,3561.7623
190,3558.2795
191,3572.3662
192,3568.1379
193,3593.1533
194,3587.0009
195,3594.7831
196,3582.6036
197,3609.8626
198,3597.6377
199,3562.3052
200,3518.4166
201,3547.3361
202,3544.4795
203,3505.6283
204,3498.5368
205,3526.8657
206,3491.5677
207,3498.6308
208,3507.0018
209,3492.4616
210,3532.7858
211,3539.1002
212,3533.3026
213,3521.7867
214,3537.3662
215,3520.7106
216,3560.3734
217,3582.0797
218,3589.0894
219,3592.7025
220,3584.1788
221,3564.0894
222,3562.6968
223,3563.8872
224,3576.8853
225,3573.8358
226,3607.4322
227,3589.3061
228,3595.0882
229,3637.5675
230,3673.0412
231,3666.3479
232,3681.082
233,3661.5253
234,3647.6303
235,3675.016
236,3632.3638
237,3593.6019
238,3625.1251
239,3622.6178
240,3643.3391
241,3618.0535
242,3615.9741
243,3630.1115
244,3597.0002
245,3619.1886
246,3639.7754
