,收盘价(元)
0,3083.4083
1,3104.8015
2,3066.8925
3,3094.8819
4,3092.2907
5,3115.5696
6,3106.8204
7,3090.0379
8,3074.0814
9,3075.4955
10,3095.7873
11,3052.1419
12,3060.7545
13,2976.5281
14,2746.6056
15,2783.2875
16,2818.0878
17,2866.5097
18,2875.9636
19,2890.4878
20,2901.6744
21,2926.8991
22,2906.0735
23,2917.0077
24,2983.6224
25,2984.9716
26,2975.4019
27,3030.1542
28,3039.6692
29,3039.6692
30,3031.2333
31,3013.0501
32,2987.9287
33,2991.3288
34,2880.3038
35,2970.9312
36,2992.8968
37,3011.6657
38,3071.6771
39,3034.5113
40,2943.2907
41,2996.7618
42,2968.5174
43,2923.4856
44,2887.4265
45,2789.2537
46,2779.6407
47,2728.7563
48,2702.1296
49,2745.6182
50,2660.1674
51,2722.4381
52,2781.5913
53,2764.9109
54,2772.2033
55,2747.2138
56,2750.2962
57,2734.5215
58,2780.6379
59,2763.9874
60,2820.7634
61,2815.3686
62,2825.9036
63,2796.6312
64,2783.0476
65,2827.283
66,2811.1741
67,2819.935
68,2838.4945
69,2852.5528
70,2827.0133
71,2843.9804
72,2838.4994
73,2808.5293
74,2815.4947
75,2810.0243
76,2822.4424
77,2860.0822
78,2860.0822
79,2878.1402
80,2871.5232
81,2895.3444
82,2894.802
83,2891.5564
84,2898.0495
85,2870.3422
86,2868.4587
87,2875.4176
88,2898.576
89,2883.7378
90,2867.9237
91,2813.7654
92,2817.9697
93,2846.5473
94,2836.8036
95,2846.2217
96,2852.3512
97,2915.4311
98,2921.398
99,2923.3711
100,2919.2506
101,2930.7993
102,2937.7712
103,2956.1116
104,2943.7525
105,2920.8968
106,2919.7408
107,2890.0306
108,2931.7493
109,2935.873
110,2939.3151
111,2967.6341
112,2965.2717
113,2970.6203
114,2979.5505
115,2961.5164
116,2984.6741
117,3025.981
118,3090.5693
119,3152.8126
120,3332.8807
121,3345.3369
122,3403.4401
123,3450.5935
124,3383.3222
125,3443.2863
126,3414.6186
127,3361.3044
128,3210.0986
129,3214.1287
130,3314.149
131,3320.8947
132,3333.1635
133,3325.1102
134,3196.7684
135,3205.2268
136,3227.9604
137,3294.5521
138,3286.822
139,3310.0065
140,3367.9658
141,3371.6875
142,3377.5648
143,3386.4631
144,3354.0352
145,3379.2524
146,3340.29
147,3319.2656
148,3320.7261
149,3360.0988
150,3438.801
151,3451.0894
152,3408.1288
153,3363.8988
154,3380.6825
155,3385.6383
156,3373.5781
157,3329.7388
158,3350.1128
159,3403.8066
160,3395.6775
161,3410.6068
162,3404.8017
163,3384.9806
164,3355.3666
165,3292.5907
166,3292.5907
167,3316.417
168,3254.6279
169,3234.8234
170,3260.3461
171,3278.8138
172,3295.6795
173,3283.9244
174,3270.435
175,3338.0897
176,3316.9351
177,3274.3015
178,3279.7105
179,3223.1764
180,3219.4179
181,3217.5346
182,3224.3593
183,3218.0521
184,3272.0762
185,3358.4652
186,3359.7499
187,3340.7782
188,3332.1832
189,3336.3582
190,3312.6671
191,3328.1029
192,3325.0247
193,3312.5005
194,3277.9972
195,3251.1188
196,3254.3157
197,3269.238
198,3272.7274
199,3224.5325
200,3225.1196
201,3271.0744
202,3277.4402
203,3320.1333
204,3312.159
205,3373.7337
206,3360.1485
207,3342.2025
208,3338.6788
209,3310.1046
210,3346.9692
211,3339.895
212,3347.3034
213,3363.0876
214,3377.7267
215,3414.4899
216,3402.8225
217,3362.3274
218,3369.7334
219,3408.3071
220,3391.7551
221,3451.9384
222,3449.3805
223,3442.1359
224,3444.5814
225,3416.6037
226,3410.1771
227,3371.964
228,3373.2758
229,3347.191
230,3369.1201
231,3367.2326
232,3366.9832
233,3404.8732
234,3394.896
235,3420.5693
236,3356.7822
237,3382.3195
238,3363.1133
239,3396.5626
240,3397.2854
241,3379.0362
242,3414.4527
243,3473.0693
