,交易类型,日期,开盘价,收盘价,现金,股数,成本,持仓
0,正常买入,2020-01-07,3085.4882,3104.8015,1.4901161193847656e-08,32377.404619502326,99999999.99999999,32377.404619502326
1,正常卖出,2020-02-13,2927.1443,2906.0735,93997026.4459498,32377.404619502326,99999999.99999999,0.0
2,正常买入,2020-02-21,3022.2455,3039.6692,0.0,31070.647080995626,93997026.4459498,31070.647080995626
3,正常卖出,2020-02-28,2924.6407,2880.3038,89403409.95299476,31070.647080995626,93997026.4459498,0.0
4,正常买入,2020-03-05,3036.1545,3071.6771,0.0,29416.848140349128,89403409.95299476,29416.848140349128
5,正常卖出,2020-03-11,3001.7616,2968.5174,87237101.13222626,29416.848140349128,89403409.95299476,0.0
6,正常买入,2020-03-20,2727.0186,2745.6182,0.0,31957.95994242402,87237101.13222626,31957.95994242402
7,正常卖出,2020-03-26,2761.8961,2764.9109,88272550.87478496,31957.95994242402,87237101.13222626,0.0
8,正常买入,2020-04-14,2794.801,2827.283,0.0,31553.003776754304,88272550.87478496,31553.003776754304
9,正常卖出,2020-04-21,2842.2372,2827.0133,89111560.5705028,31553.003776754304,88272550.87478496,0.0
10,正常买入,2020-04-22,2814.0661,2843.9804,0.0,31634.84256196766,89111560.5705028,31634.84256196766
11,正常卖出,2020-04-24,2834.9387,2808.5293,88758534.85393707,31634.84256196766,89111560.5705028,0.0
12,正常买入,2020-04-27,2812.2422,2815.4947,0.0,31529.953212759603,88758534.85393707,31529.953212759603
13,正常卖出,2020-04-28,2819.9914,2810.0243,88511334.77101183,31529.953212759603,88758534.85393707,0.0
14,正常买入,2020-05-06,2831.6326,2878.1402,0.0,31226.830719194535,88511334.77101183,31226.830719194535
15,正常卖出,2020-05-29,2835.584,2852.3512,88980818.1860173,31226.830719194535,88511334.77101183,0.0
16,正常买入,2020-06-12,2876.8029,2919.7408,1.4901161193847656e-08,30899.55389705619,88980818.18601729,30899.55389705619
17,正常卖出,2020-06-15,2908.2767,2890.0306,89211355.6325528,30899.55389705619,88980818.18601729,0.0
18,正常买入,2020-06-16,2912.8251,2931.7493,1.4901161193847656e-08,30596.4932117461,89211355.63255279,30596.4932117461
19,正常卖出,2020-06-29,2973.0757,2961.5164,90521404.41264568,30596.4932117461,89211355.63255279,0.0
20,正常买入,2020-07-01,2991.1813,3025.981,0.0,30232.52834564273,90521404.41264568,30232.52834564273
21,正常卖出,2020-07-09,3403.4832,3450.5935,104215845.63224252,30232.52834564273,90521404.41264568,0.0
22,正常买入,2020-07-13,3379.3867,3443.2863,0.0,30807.878215992325,104215845.63224252,30807.878215992325
23,正常卖出,2020-07-17,3214.4022,3214.1287,98921465.07456562,30807.878215992325,104215845.63224252,0.0
24,正常买入,2020-07-28,3226.1329,3227.9604,1.4901161193847656e-08,30631.919234366782,98921465.0745656,30631.919234366782
25,正常卖出,2020-09-07,3349.9184,3292.5907,100757514.02183297,30631.919234366782,98921465.0745656,0.0
26,正常买入,2020-09-07,3349.9184,3292.5907,1.4901161193847656e-08,30047.55493885114,100757514.02183296,30047.55493885114
27,正常卖出,2020-09-17,3277.3238,3270.435,98170306.7611052,30047.55493885114,100757514.02183296,0.0
28,正常买入,2020-10-09,3262.6105,3272.0762,-1.4901161193847656e-08,30059.43692223716,98170306.76110521,30059.43692223716
29,正常卖出,2020-10-15,3342.9222,3332.1832,100063387.16302462,30059.43692223716,98170306.76110521,0.0
30,正常买入,2020-10-20,3307.1498,3328.1029,0.0,30226.457761086403,100063387.16302462,30226.457761086403
31,正常卖出,2020-11-06,3326.4645,3312.159,100014719.27739069,30226.457761086403,100063387.16302462,0.0
32,正常买入,2020-11-19,3339.0864,3363.0876,0.0,29922.796988097634,100014719.27739069,29922.796988097634
33,正常卖出,2020-11-30,3418.1583,3391.7551,101389308.49135414,29922.796988097634,100014719.27739069,0.0
34,正常买入,2020-12-10,3365.731,3373.2758,0.0,30093.914359431357,101389308.49135414,30093.914359431357
35,正常卖出,2020-12-15,3366.5813,3367.2326,101231876.2831927,30093.914359431357,101389308.49135414,0.0
36,正常买入,2020-12-23,3362.4721,3382.3195,0.0,30076.307707550957,101231876.2831927,30076.307707550957
