,交易类型,日期,开盘价,收盘价,现金,股数,成本,持仓
0,正常买入,2018-01-08,3391.553,3409.48,1.4901161193847656e-08,29455.5620684978,99999999.99999999,29455.5620684978
1,正常卖出,2018-01-15,3428.951,3410.488,100357383.12689906,29455.5620684978,99999999.99999999,0.0
2,正常买入,2018-01-19,3481.62,3487.864,0.0,28796.113878280277,100357383.12689906,28796.113878280277
3,正常卖出,2018-01-31,3470.509,3480.833,100134228.9958167,28796.113878280277,100357383.12689906,0.0
4,正常买入,2018-02-22,3237.569,3268.559,0.0,30897.93446904628,100134228.9958167,30897.93446904628
5,正常卖出,2018-03-13,3324.122,3310.239,102177268.1511824,30897.93446904628,100134228.9958167,0.0
6,正常买入,2018-03-20,3257.219,3290.64,0.0,31338.14243323037,102177268.1511824,31338.14243323037
7,正常卖出,2018-04-03,3130.013,3136.633,98197955.4630559,31338.14243323037,102177268.1511824,0.0
8,正常买入,2018-04-11,3197.372,3208.082,0.0,30681.401978702655,98197955.4630559,30681.401978702655
9,正常卖出,2018-04-16,3152.888,3110.649,95343633.3112658,30681.401978702655,98197955.4630559,0.0
10,正常买入,2018-04-18,3091.91,3091.399,0.0,30805.678343269847,95343633.3112658,30805.678343269847
11,正常卖出,2018-04-19,3094.274,3117.376,95936849.44869816,30805.678343269847,95343633.3112658,0.0
12,正常买入,2018-04-24,3069.746,3128.927,0.0,31221.152642680507,95936849.44869816,31221.152642680507
13,正常卖出,2018-05-09,3160.138,3159.15,98533672.066753,31221.152642680507,95936849.44869816,0.0
14,正常买入,2018-06-14,3038.07,3044.16,0.0,32400.58222158248,98533672.066753,32400.58222158248
15,正常卖出,2018-06-15,3037.452,3021.901,97813440.46416633,32400.58222158248,98533672.066753,0.0
16,正常买入,2018-06-20,2889.984,2915.731,-1.4901161193847656e-08,33811.85665367937,97813440.46416634,33811.85665367937
17,正常卖出,2018-06-25,2903.45,2859.336,96582779.49774824,33811.85665367937,97813440.46416634,0.0
18,正常买入,2018-07-06,2731.353,2747.229,0.0,35325.45709197738,96582779.49774824,35325.45709197738
19,正常卖出,2018-07-10,2819.712,2827.625,99787258.46409284,35325.45709197738,96582779.49774824,0.0
20,正常买入,2018-08-17,2723.887,2668.966,0.0,36597.542736978314,99787258.46409284,36597.542736978314
21,正常卖出,2018-08-28,2782.293,2777.981,101565611.09164375,36597.542736978314,99787258.46409284,0.0
22,正常买入,2018-09-04,2720.648,2750.58,-1.4901161193847656e-08,37294.110426890606,101565611.09164377,37294.110426890606
23,正常卖出,2018-09-05,2741.38,2704.337,100754986.86681652,37294.110426890606,101565611.09164377,0.0
24,正常买入,2018-09-07,2696.678,2702.301,0.0,37325.30637112857,100754986.86681652,37325.30637112857
25,正常卖出,2018-09-14,2688.779,2681.643,99993053.40643935,37325.30637112857,100754986.86681652,0.0
26,正常买入,2018-10-16,2567.764,2546.33,1.4901161193847656e-08,38902.780881028455,99993053.40643933,38902.780881028455
27,正常卖出,2018-10-18,2544.911,2486.419,96631884.92189048,38902.780881028455,99993053.40643933,0.0
28,正常买入,2018-10-30,2538.574,2568.048,0.0,38027.392375529795,96631884.92189048,38027.392375529795
29,正常卖出,2018-11-06,2660.719,2659.356,101027245.7041412,38027.392375529795,96631884.92189048,0.0
30,正常买入,2018-11-08,2660.087,2635.632,1.4901161193847656e-08,37940.98440568164,101027245.70414118,37940.98440568164
31,正常卖出,2018-11-20,2684.2874,2645.8545,100285937.99987839,37940.98440568164,101027245.70414118,0.0
32,正常买入,2018-12-03,2647.1319,2654.798,0.0,37846.90602218604,100285937.99987839,37846.90602218604
33,正常卖出,2018-12-14,2627.2833,2593.7407,98066895.45830022,37846.90602218604,100285937.99987839,0.0
34,正常买入,2018-12-24,2506.7372,2527.0071,0.0,39082.24864248572,98066895.45830022,39082.24864248572
