,收盘价(元)
0,3632.3289
1,3595.1761
2,3586.0792
3,3579.5427
4,3593.5187
5,3567.4409
6,3597.4321
7,3555.2585
8,3521.2559
9,3541.666
10,3569.9144
11,3558.1796
12,3555.0629
13,3522.5679
14,3524.105
15,3433.0612
16,3455.6679
17,3394.2474
18,3361.4397
19,3429.5809
20,3452.6288
21,3479.9458
22,3485.9071
23,3462.9479
24,3428.8821
25,3446.0885
26,3465.8305
27,3468.0354
28,3490.7573
29,3490.6123
30,3457.146
31,3489.1465
32,3429.9564
33,3451.4061
34,3462.3064
35,3488.8347
36,3484.1916
37,3481.1125
38,3447.649
39,3372.8552
40,3293.5301
41,3256.3884
42,3296.0922
43,3309.7467
44,3223.5328
45,3063.9652
46,3170.7103
47,3215.0445
48,3251.0724
49,3253.6857
50,3259.8619
51,3271.0325
52,3250.2644
53,3212.2399
54,3214.5027
55,3203.9393
56,3266.5959
57,3252.2029
58,3282.7166
59,3282.7166
60,3283.4261
61,3236.6951
62,3251.8502
63,3167.1259
64,3213.3295
65,3186.8244
66,3225.6412
67,3211.2448
68,3195.524
69,3194.0287
70,3151.0498
71,3079.8077
72,3086.9193
73,2928.5118
74,2886.4257
75,2958.282
76,2975.4848
77,3047.0624
78,3067.7587
79,3001.5605
80,3004.1409
81,3035.8442
82,3058.7027
83,3054.994
84,3084.2845
85,3073.7488
86,3093.6965
87,3085.9768
88,3096.9648
89,3146.5673
90,3146.8573
91,3070.9272
92,3107.4641
93,3123.1079
94,3130.2394
95,3149.0607
96,3186.4271
97,3182.1566
98,3195.458
99,3236.3719
100,3241.7635
101,3263.7934
102,3238.9543
103,3284.8341
104,3255.5511
105,3288.9066
106,3305.4066
107,3285.3845
108,3316.7857
109,3315.4302
110,3306.7186
111,3267.2016
112,3320.1487
113,3349.747
114,3379.1852
115,3409.2103
116,3361.5177
117,3398.6161
118,3387.6373
119,3405.4267
120,3404.0252
121,3355.3497
122,3364.398
123,3356.0778
124,3313.584
125,3281.4665
126,3284.2918
127,3281.744
128,3228.0609
129,3278.1033
130,3279.4313
131,3304.7243
132,3272.0012
133,3269.9739
134,3250.388
135,3277.4356
136,3275.7553
137,3282.5758
138,3253.2382
139,3259.9585
140,3186.2664
141,3163.6741
142,3189.0391
143,3227.0267
144,3236.9337
145,3247.4318
146,3230.02
147,3281.6654
148,3276.8877
149,3276.087
150,3277.8847
151,3292.526
152,3277.5438
153,3258.0784
154,3277.7943
155,3276.2234
156,3215.2033
157,3246.2481
158,3236.2226
159,3240.7275
160,3227.2203
161,3202.1378
162,3184.9797
163,3186.4781
164,3199.9118
165,3243.4466
166,3246.2943
167,3235.5862
168,3262.0542
169,3263.7972
170,3237.5419
171,3199.9187
172,3126.3977
173,3115.6019
174,3122.4058
175,3117.1774
176,3108.9096
177,3088.3695
178,3088.3695
179,3051.226
180,3093.8618
181,3045.0668
182,3041.2046
183,3024.3905
184,2974.1454
185,2979.7926
186,3025.5055
187,3016.3561
188,3071.9868
189,3084.9423
190,3080.9574
191,3044.3777
192,3035.0504
193,3038.9291
194,2977.5554
195,2976.283
196,2999.5036
197,2982.9029
198,2915.9257
199,2893.4829
200,2969.1995
201,3003.3699
202,2997.8057
203,3070.7964
204,3077.817
205,3064.4928
206,3048.1676
207,3036.1318
208,3087.2926
209,3087.2926
210,3083.4013
211,3134.0778
212,3119.9804
213,3115.4347
214,3097.2432
215,3085.0444
216,3088.9426
217,3096.9073
218,3089.3096
219,3101.6932
220,3078.5485
221,3149.7478
222,3151.3353
223,3165.4711
224,3156.1442
225,3211.8144
226,3212.5334
227,3199.6194
228,3197.3499
229,3206.9502
230,3206.9502
231,3179.0417
232,3176.3255
233,3176.5253
234,3168.6478
235,3167.8576
236,3107.115
237,3073.7659
238,3068.4105
239,3054.4313
240,3045.8664
241,3065.5626
242,3095.5678
243,3087.3997
244,3073.7016
245,3089.2579
