,交易类型,日期,开盘价,收盘价,现金,股数,成本,持仓
0,正常买入,2016-02-16,2758.579,2836.571,1.4901161193847656e-08,36214.333502901274,99999999.99999999,36214.333502901274
1,正常卖出,2016-02-19,2854.904,2860.021,103470180.56498194,36214.333502901274,99999999.99999999,0.0
2,正常买入,2016-03-01,2688.38,2733.17,0.0,38449.48026366463,103470180.56498194,38449.48026366463
3,正常卖出,2016-03-04,2848.538,2874.147,110398948.89301953,38449.48026366463,103470180.56498194,0.0
4,正常买入,2016-03-16,2858.709,2870.43,1.4901161193847656e-08,38579.883518324794,110398948.89301951,38579.883518324794
5,正常卖出,2016-04-07,3058.339,3008.42,115948428.68102449,38579.883518324794,110398948.89301951,0.0
6,正常买入,2016-04-14,3080.09,3082.362,0.0,37606.88683932598,115948428.68102449,37606.88683932598
7,正常卖出,2016-04-29,2935.376,2938.324,110390716.9471104,37606.88683932598,115948428.68102449,0.0
8,正常买入,2016-05-03,2940.392,2992.643,-1.4901161193847656e-08,37505.351841046984,110390716.94711041,37505.351841046984
9,正常卖出,2016-05-12,2812.108,2835.862,106253642.08057252,37505.351841046984,110390716.94711041,0.0
10,正常买入,2016-05-19,2802.315,2806.906,1.4901161193847656e-08,37878.50209058815,106253642.0805725,37878.50209058815
11,正常卖出,2016-06-01,2917.154,2913.508,110248959.55007635,37878.50209058815,106253642.0805725,0.0
12,正常买入,2016-06-27,2840.559,2895.703,0.0,38773.64305031052,110248959.55007635,38773.64305031052
13,正常卖出,2016-08-16,3130.533,3110.037,120466877.04674731,38773.64305031052,110248959.55007635,0.0
14,正常买入,2016-09-29,2992.168,2998.483,-1.4901161193847656e-08,40220.51252343822,120466877.04674733,40220.51252343822
15,正常卖出,2016-09-30,2994.251,3004.703,120729843.94607167,40220.51252343822,120466877.04674733,0.0
16,正常买入,2016-10-18,3037.404,3083.875,-1.4901161193847656e-08,39707.99890675074,120729843.94607168,39707.99890675074
17,正常卖出,2016-11-02,3115.729,3102.733,123080115.2533675,39707.99890675074,120729843.94607168,0.0
18,正常买入,2016-12-01,3257.027,3273.309,1.4901161193847656e-08,37751.34750042669,123080115.25336748,37751.34750042669
19,正常卖出,2016-12-02,3270.121,3243.843,122336984.8854968,37751.34750042669,123080115.25336748,0.0
