,0
0,100000000.0
1,100000000.0
2,100000000.0
3,100000000.0
4,100000000.0
5,100000000.0
6,100000000.0
7,100067256.01266843
8,100217042.13195102
9,100217042.13195102
10,100217042.13195102
11,100217042.13195102
12,101037786.17781363
13,100558313.75996177
14,97862132.6269982
15,98381788.89942737
16,100149750.68506962
17,103179580.65617138
18,103325645.66565278
19,102371760.20375828
20,100496085.23732734
21,100496085.23732734
22,100496085.23732734
23,100496085.23732734
24,100496085.23732734
25,104582739.56296234
26,106090268.23481476
27,107447754.88325104
28,109121417.04190043
29,109121417.04190043
30,109578299.12729616
31,109578299.12729616
32,109578299.12729616
33,110016533.753146
34,108996546.73463328
35,110404616.42691019
36,108294694.0000033
37,110393284.82436201
38,110827114.95332476
39,111276904.51863892
40,111587657.70050642
41,111299802.04443419
42,111299802.04443419
43,112030008.00403897
44,112855192.44988231
45,112394702.73523648
46,111949660.2650997
47,111743671.25957136
48,112346922.93680382
49,113460974.53288198
50,112645565.98606363
51,112645565.98606363
52,112645565.98606363
53,112645565.98606363
54,112645565.98606363
55,112815230.89114544
56,111388346.47160271
57,111388346.47160271
58,111388346.47160271
59,111388346.47160271
60,111388346.47160271
61,111388346.47160271
62,111388346.47160271
63,111388346.47160271
64,111388346.47160271
65,112152492.38334724
66,111606453.1576832
67,113007472.95836504
68,111147921.9952132
69,111147921.9952132
70,111663472.42982593
71,111337892.21637245
72,110587259.03604454
73,109765728.00009613
74,110595507.87205632
75,110888909.99734229
76,112186919.37236014
77,113073460.38934731
78,112774936.79388231
79,112774936.79388231
80,112774936.79388231
81,112774936.79388231
82,112774936.79388231
83,112630623.93690854
84,112397600.39326836
85,112397600.39326836
86,112287856.6601272
87,111364353.06195672
88,111453550.85501136
89,112582410.33906066
90,112582410.33906066
91,113193462.87407355
92,112723026.52456607
93,112723026.52456607
94,112723026.52456607
95,112723026.52456607
96,113812415.77174175
97,113285235.4154468
98,113337896.6185085
99,112633325.78836513
100,112456110.18395612
101,112456110.18395612
102,112152831.92928468
103,112152831.92928468
104,112152831.92928468
105,112152831.92928468
106,112056004.70009965
107,111202767.53405505
108,111548798.36325668
109,111234849.86259031
110,111371265.86256401
111,110756405.97962645
112,111283608.6853882
113,110835671.65946904
114,110372497.73095226
115,110104439.88703686
116,108817665.28415124
117,108336481.77011053
118,108336481.77011053
119,108336481.77011053
120,108336481.77011053
121,108336481.77011053
122,108336481.77011053
123,108336481.77011053
124,108336481.77011053
125,108336481.77011053
126,108336481.77011053
127,109813320.31940983
128,109070854.53051248
129,110222053.51004116
130,110255731.78909853
131,110356503.16683774
132,110441611.69575576
133,109942545.31590311
134,110472377.07826622
135,110664413.02998252
136,109993033.04891926
137,108180469.2574741
138,108180469.2574741
139,108180469.2574741
140,108180469.2574741
141,108269302.00826994
142,107799597.01326029
143,107799597.01326029
144,107799597.01326029
145,107799597.01326029
146,107799597.01326029
147,107799597.01326029
148,107799597.01326029
149,107799597.01326029
150,107137854.13762096
151,106988518.88845597
152,106988518.88845597
153,106988518.88845597
154,106988518.88845597
155,106988518.88845597
156,106988518.88845597
157,106988518.88845597
158,106988518.88845597
159,106988518.88845597
160,107349458.47414985
161,107392813.9480785
162,107137483.75372656
163,106712432.37378721
164,106173749.63634618
165,106892386.92548841
166,105719773.2954435
167,105719773.2954435
168,105719773.2954435
169,105719773.2954435
170,105719773.2954435
171,105719773.2954435
172,105963468.35057734
173,105098640.70082897
174,104918233.53455196
175,104414961.6008024
176,104414961.6008024
177,104906395.76529281
178,104936751.65696919
179,105400843.66362906
180,109779875.6269967
181,111052093.07931544
182,115064534.61104389
183,118384089.59118111
184,127930218.07873872
185,133807294.31671435
186,133807294.31671435
187,133807294.31671435
188,133807294.31671435
189,135578015.3615983
190,132150482.29738711
191,132218846.70168671
192,130833325.08065467
193,134638507.39086223
194,134908757.52408385
195,135641768.7496789
196,136340888.7996626
197,135410417.09974426
198,135410417.09974426
199,135410417.09974426
200,135410417.09974426
201,135410417.09974426
202,135410417.09974426
203,135410417.09974426
204,135410417.09974426
205,135410417.09974426
206,136837760.5650324
207,140011689.4371752
208,139880205.26149303
209,143470615.74774528
210,142711490.67924076
211,142711490.67924076
212,142711490.67924076
213,142711490.67924076
214,142711490.67924076
215,142711490.67924076
216,141822211.25701424
217,142767786.933388
218,143705609.82108617
219,143808636.14764664
220,139404766.303839
221,139258333.74767113
222,139087554.7896415
223,141221884.28492448
224,140621092.2308503
225,140621092.2308503
226,142120902.34264386
227,142747183.95427048
228,142149102.75924942
229,142326775.94581822
230,143814790.46762484
231,143749640.11189836
232,140964320.04836106
233,141369153.86198312
234,142563931.52103502
235,139696524.44656837
236,139696524.44656837
237,139696524.44656837
238,139696524.44656837
239,139696524.44656837
240,139845514.15365
241,139147455.25294563
242,140902588.29869056
243,140895197.56551313
244,140895197.56551313
245,140895197.56551313
246,140895197.56551313
247,140895197.56551313
