,0
0,100000000.0
1,100000000.0
2,100000000.0
3,100000000.0
4,100000000.0
5,100000000.0
6,100000000.0
7,99967288.7239445
8,100116925.20674428
9,100016808.28153753
10,100016808.28153753
11,100016808.28153753
12,100735177.30185482
13,100257140.90724644
14,97569034.85562512
15,98087134.75388545
16,99849801.48161986
17,102870557.09077659
18,103016184.63453345
19,102065156.06626594
20,100094903.66071287
21,100094903.66071287
22,100094903.66071287
23,100094903.66071287
24,100094903.66071287
25,104061182.83047493
26,105561193.41921432
27,106911910.24785326
28,108577225.81154443
29,108577225.81154443
30,108922797.58516237
31,108922797.58516237
32,108922797.58516237
33,109249161.51334299
34,108236288.96841225
35,109634537.28605846
36,107539331.70073265
37,109623284.72215047
38,110054088.85868828
39,110500741.11350556
40,110809326.7723921
41,110412955.44869119
42,110412955.44869119
43,111026316.74634534
44,111844108.25855389
45,111387744.13051724
46,110946688.85313834
47,110742545.32961713
48,111340392.39744702
49,112444463.0619201
50,111524723.50533403
51,111524723.50533403
52,111524723.50533403
53,111524723.50533403
54,111524723.50533403
55,111581119.0967467
56,110059673.85081582
57,110059673.85081582
58,110059673.85081582
59,110059673.85081582
60,110059673.85081582
61,110059673.85081582
62,110059673.85081582
63,110059673.85081582
64,110059673.85081582
65,110704000.80688268
66,110165013.88297302
67,111547938.9865454
68,109602692.41792046
69,109602692.41792046
70,110001074.3587046
71,109680341.2443701
72,108940883.17013504
73,108131582.73726396
74,108949009.20100045
75,109238043.28079648
76,110516728.4467926
77,111390071.01987919
78,110984895.72444792
79,110984895.72444792
80,110984895.72444792
81,110984895.72444792
82,110984895.72444792
83,110732141.35866359
84,110392542.5744927
85,110392542.5744927
86,110174581.9749277
87,109268458.85612297
88,109355977.93303104
89,110463592.10844462
90,110463592.10844462
91,111063144.54102454
92,110490960.31389514
93,110490960.31389514
94,110490960.31389514
95,110490960.31389514
96,111447330.8707019
97,110931105.6135703
98,110982672.48772782
99,110292743.02883367
100,110119210.06262696
101,110119210.06262696
102,109712411.86360428
103,109712411.86360428
104,109712411.86360428
105,109712411.86360428
106,109508183.38947211
107,108674346.3068098
108,109012509.42090653
109,108705699.17831546
110,108839013.48291127
111,108238133.69070594
112,108753349.37004858
113,108315597.10400473
114,107862954.37735222
115,107600991.3740394
116,106343474.21044925
117,105767358.15146795
118,105767358.15146795
119,105767358.15146795
120,105767358.15146795
121,105767358.15146795
122,105767358.15146795
123,105767358.15146795
124,105767358.15146795
125,105767358.15146795
126,105767358.15146795
127,107102072.43879513
128,106377937.83950868
129,107500714.16699173
130,107533560.94252612
131,107631844.31440659
132,107714851.54707038
133,107228106.92072383
134,107744857.34433302
135,107932152.0035943
136,107277348.13138059
137,105404026.29439563
138,105404026.29439563
139,105404026.29439563
140,105404026.29439563
141,105385193.96588647
142,104823073.10320765
143,104823073.10320765
144,104823073.10320765
145,104823073.10320765
146,104823073.10320765
147,104823073.10320765
148,104823073.10320765
149,104823073.10320765
150,104075526.50861949
151,103826529.25800657
152,103826529.25800657
153,103826529.25800657
154,103826529.25800657
155,103826529.25800657
156,103826529.25800657
157,103826529.25800657
158,103826529.25800657
159,103826529.25800657
160,104072728.73458675
161,104114760.82810143
162,103867224.32039806
163,103455147.18846412
164,102932907.1771537
165,103629608.81603034
166,102390295.200394
167,102390295.200394
168,102390295.200394
169,102390295.200394
170,102390295.200394
171,102390295.200394
172,102523791.67112261
173,101687037.16341925
174,101512486.1882646
175,100924525.39734328
176,100924525.39734328
177,101298233.4183433
178,101327545.2460753
179,101775675.22018477
180,106004094.26685606
181,107232554.9293709
182,111106992.09684199
183,114312373.93052246
184,123530171.80375786
185,129075906.1109464
186,129075906.1109464
187,129075906.1109464
188,129075906.1109464
189,130653361.59726542
190,127350328.16938557
191,127416209.34644452
192,126081014.57411565
193,129747979.7453722
194,130008413.47633769
195,130714799.24586746
196,131388524.88233438
197,130361359.22215416
198,130361359.22215416
199,130361359.22215416
200,130361359.22215416
201,130361359.22215416
202,130361359.22215416
203,130361359.22215416
204,130361359.22215416
205,130361359.22215416
206,131603877.35252546
207,134656407.18267137
208,134529952.12188387
209,137983033.63481468
210,137115691.26208973
211,137115691.26208973
212,137115691.26208973
213,137115691.26208973
214,137115691.26208973
215,137115691.26208973
216,136125155.84031084
217,137032747.3604566
218,137932897.52457422
219,138031785.2420509
220,133804820.6257513
221,133664270.32441436
222,133500351.62599625
223,135548944.24477476
224,134837313.96353534
225,134837313.96353534
226,136139297.23895854
227,136739219.81948766
228,136166310.7523492
229,136336506.00413114
230,137761892.75541785
231,137561784.9728336
232,134761600.35394144
233,135148620.64802992
234,136290825.63540354
235,133416040.77296025
236,133416040.77296025
237,133416040.77296025
238,133416040.77296025
239,133416040.77296025
240,133424907.28569019
241,132758897.7631817
242,134433448.89426246
243,134291971.08797824
244,134291971.08797824
245,134291971.08797824
246,134291971.08797824
247,134291971.08797824
