Date
{'01/03/2017'}
{'01/07/2017'}
{'01/22/2017'}
{'02/15/2017'}
{'02/19/2017'}
{'02/20/2017'}
{'02/28/2017'}
{'03/05/2017'}
{'03/13/2017'}
{'03/16/2017'}
{'03/24/2017'}
{'04/17/2017'}
{'05/04/2017'}
{'05/24/2017'}
{'06/05/2017'}
{'06/23/2017'}
{'07/08/2017'}
{'07/12/2017'}
{'07/24/2017'}
{'07/25/2017'}
{'08/03/2017'}
{'08/05/2017'}
{'09/20/2017'}
{'09/30/2017'}
{'10/11/2017'}
{'10/17/2017'}
{'10/25/2017'}
{'10/31/2017'}
{'11/14/2017'}
{'11/19/2017'}
