,收盘价(元)
210,3206.986
211,3205.057
212,3208.453
213,3192.856
214,3218.148
215,3248.352
216,3241.137
217,3241.736
218,3261.938
219,3277.0
220,3282.924
221,3250.034
222,3273.309
223,3243.843
224,3204.709
225,3199.647
226,3222.242
227,3215.366
228,3232.883
229,3152.97
230,3155.037
231,3140.531
232,3117.677
233,3122.982
234,3118.085
235,3102.876
236,3137.43
237,3139.558
238,3110.154
239,3122.569
240,3114.664
241,3102.236
242,3096.097
243,3103.637
244,3103.637
245,3110.138457844038
246,3099.2421048909805
247,3115.861745125513
248,3106.4637635208246
249,3081.9818494963583
250,3064.821813037824
251,3058.410748743983
252,3049.237768476197
253,3054.491402312085
254,3058.6544183140786
255,3047.145943820015
256,3068.604586605838
257,3082.0024828067294
258,3087.6795907745172
259,3094.5593259753564
260,3104.0025043551436
261,3085.338201316705
262,3101.858605153739
263,3098.0306348106274
264,3111.6820259675055
265,3127.5962034950685
266,3140.8801252196254
267,3160.668452403987
268,3161.738436927511
269,3156.882731220206
270,3173.2243130340253
271,3146.163235213186
272,3183.386709661029
273,3183.386709661029
274,3196.5183379042764
275,3204.2725324494095
276,3194.601405116953
277,3196.623469533309
278,3172.2830410656725
279,3185.1277680409044
280,3190.2379512427847
281,3173.627153855554
282,3162.115731745723
283,3177.3981369604985
284,3185.789016511365
285,3184.0784168277514
286,3160.5770763152013
287,3156.660677499071
288,3180.5009938248586
289,3182.764762734132
290,3185.1542965828103
291,3211.8547827414513
292,3180.9166076480456
293,3194.0443057369366
294,3204.6586701149236
295,3188.5538801010766
296,3191.8257336027614
297,3212.35587742189
298,3209.9093563350443
299,3196.1469383175986
300,3184.7160843720735
301,3154.181732638786
302,3166.244358897098
303,3213.2008606085105
304,3223.7140235118213
305,3229.22704753523
306,3212.304785415257
307,3231.5360132196024
308,3216.664309135069
309,3218.75711632984
310,3189.3860902860397
311,3165.9034180066824
312,3140.8938807598724
313,3115.3223314401002
314,3116.7106584664907
315,3117.743306523629
316,3074.8849732673293
317,3079.833037602009
318,3086.0033799415223
319,3097.145367541853
320,3099.5732203955054
321,3088.8183529992775
322,3080.5984351629136
323,3072.760724837707
324,3048.85457842645
325,3024.856073387818
326,3026.7366522473453
327,2999.479066708687
328,3008.0418905126453
329,3029.670512474381
330,3036.2692416387395
331,3058.6072564618016
332,3050.234062605539
333,3036.1808131657212
334,3036.6642221515554
335,3021.970357551648
336,3008.4810852619703
337,3010.5729099181526
338,3053.56388588398
339,3055.7529818604826
340,3062.7476740762454
341,3048.446824911976
342,3051.3128899763647
343,3037.671324205377
344,3047.958503233196
345,3085.4904947980144
346,3095.324723536261
347,3103.249879795897
348,3085.0503175101003
349,3098.674197586484
350,3076.0080148746642
351,3077.788374798103
352,3068.6311151477435
353,3089.468793545258
354,3085.1849252968063
355,3101.1000853629585
356,3092.49402986108
357,3102.7320819594443
358,3129.8216533993673
359,3135.4741979024275
360,3117.792433453084
361,3132.3949219642054
362,3136.6827203670136
363,3140.1068673500076
364,3127.227751524158
365,3151.132915396826
366,3156.350195304917
367,3161.7669305465947
368,3156.5349125596667
369,3147.108437335895
370,3141.7103703274097
371,3161.9693334959484
372,3166.149052653956
373,3120.999439407888
374,3131.9075828240148
375,3174.5586004380157
376,3188.205078901948
377,3181.442265793211
378,3193.838955171816
379,3187.049613521173
380,3190.9660123373037
381,3193.0352386059362
382,3196.433839585614
383,3215.876313186615
384,3235.143894918757
385,3227.695269874832
386,3215.779041866295
387,3205.1204632517984
388,3222.193053775903
389,3224.5668670071555
390,3218.37687389586
391,3204.7942604402187
392,3152.5153471916815
393,3180.8311267907943
394,3194.4903782563856
395,3189.763385104252
396,3211.3586007539584
397,3211.647467099153
398,3229.5119837260677
399,3232.7740118418615
400,3230.297032058754
401,3214.386784685548
402,3273.3489254171054
403,3303.9343691570266
404,3306.464406023945
405,3304.8933268199826
406,3302.1255156145035
407,3308.3243515731006
408,3320.5707125475737
409,3325.2220502283467
410,3326.275331595856
411,3306.730673981589
412,3306.4811091799593
413,3317.461960451679
414,3320.4773713816094
415,3325.055018668201
416,3312.5561452763304
417,3295.0600806203256
418,3304.138737183558
419,3298.229750108744
420,3307.2209607375476
421,3299.1798649243983
422,3293.9891135582125
423,3283.2008398499556
424,3285.1993233401736
425,3286.858831017154
426,3281.3271387605523
427,3290.46573017772
428,3315.4565991913373
429,3323.91625644344
430,3329.1197808112847
431,3326.973916532702
432,3331.319684712267
433,3319.4771470979113
434,3313.1604065086235
435,3322.743105368061
436,3311.3240418856058
437,3319.6520389667703
438,3321.667225613003
439,3329.084409422077
440,3337.583368217744
441,3348.0660724247928
442,3357.1496416809705
443,3331.1369325346955
444,3334.089460994924
445,3336.615567707486
446,3324.2326338691287
447,3312.8685925476625
448,3329.011701566484
449,3353.969164268072
450,3355.821249508515
451,3367.940863004995
452,3372.7336862425977
453,3387.631918869037
454,3369.6632531516775
455,3343.1121128585787
456,3339.894298979294
457,3323.837653356313
458,3333.162927105408
459,3350.9458930294286
460,3370.563258499288
461,3293.388782480276
462,3295.2585534153227
463,3264.21917684724
464,3275.446645304822
465,3279.5782200719646
466,3259.265217281026
467,3259.6867263357476
468,3251.827400161581
469,3245.9881733265925
470,3236.4477236264856
471,3214.919320600837
472,3232.544097812013
473,3264.185770535211
474,3223.5263586413043
475,3245.36131370675
476,3234.948369739527
477,3209.1056397691655
478,3210.859471150699
479,3238.9757954162255
480,3230.199760738434
481,3242.4353137884273
482,3239.4916281755
483,3223.1795225193537
484,3248.395392869874
485,3218.58320699957
486,3238.825467012094
487,3249.4241107726557
488,3249.4241107726557
489,3255.2209810388827
490,3272.2372906117635
491,3276.4793711708235
492,3284.0940017490093
493,3287.463672527937
494,3290.914921779154
495,3273.204715318445
496,3298.2598635254185
497,3306.0117378863974
498,3334.8837988497917
499,3347.466078517049
500,3360.4207399166403
501,3403.7465866762886
502,3416.1849043336233
503,3405.4760502888284
504,3414.902682698577
505,3381.188699468111
506,3347.605241793308
507,3340.7180992385984
508,3308.2277930924765
509,3322.7209285047766
510,3347.1138514661043
511,3234.972244469867
512,3176.0514730486425
513,3130.741829792257
514,3003.864271460316
515,3027.161163652765
516,3056.753994412506
517,3070.382398018536
518,3136.9888212761757
519,3156.6300381633164
520,3195.5477681791276
521,3159.551507218018
522,3128.206178924149
523,3141.9756652999035
524,3123.5226148679917
525,3125.824087533292
526,3157.2231616441986
527,3139.97267386851
528,3156.0369146824346
529,3174.0417633901193
530,3192.788496322273
531,3176.991065100072
532,3158.893120959304
533,3158.633989341443
534,3138.2585662036954
535,3147.251393090209
536,3158.180988883552
537,3148.8829625360017
538,3132.114267620188
539,3025.8520691092
540,3007.579451063059
541,3039.18103173459
542,2996.6076264134717
543,3033.3093012232034
544,3041.338542389967
545,3035.850710571708
546,3010.3732738022945
547,3005.073552343668
548,3011.967413125507
549,3061.9011161406147
550,3078.94621811548
551,3052.146250348242
552,3031.8898358053643
553,2985.4352146967253
554,2943.348400969146
555,2966.9600900899595
556,2991.891430968399
557,2947.9033589631053
558,2944.5144932495214
559,3002.9774654791913
560,2992.465359514625
561,2951.2499958204453
562,2958.162091790208
563,2957.1495589870838
564,2976.0392941824275
565,2966.6088227857476
566,3010.3847907630884
567,3034.2373763138394
568,3031.9838909851806
569,3046.632505368197
570,3035.9313292972647
571,3046.2668418629933
572,3063.6248212727573
573,3041.9796532074906
574,3027.31280363655
575,3064.762121151148
576,3084.472439803052
577,3084.96191063679
578,3041.402845421066
579,3027.6659904342273
580,3014.855291044559
581,3008.884706619692
582,2994.8522496391456
583,2919.0149823052534
584,2970.8710580261973
585,2951.352688720857
586,2966.760462769533
587,2988.8490338253628
588,2989.7838271431283
589,2984.3315059539837
590,2943.685272072366
591,2929.8985102554207
592,2955.8299072294576
593,2927.032706511223
594,2921.6226141783222
595,2900.2596116525037
596,2790.772664119244
597,2798.3633010291096
598,2760.0492517082416
599,2773.437718631067
600,2744.238384031781
601,2730.0072594775406
602,2699.9383943383214
603,2674.715290453105
604,2732.8001224700442
605,2663.831762502937
606,2674.7066527325096
607,2648.0621639359883
608,2623.834317412705
609,2636.64405705564
610,2701.792625026128
611,2713.8038553873575
612,2665.9566417693986
613,2723.4339541044637
614,2717.2195940094607
615,2700.767615515477
616,2685.4922865159297
617,2675.0607992769196
618,2660.9410053436864
619,2715.383598509578
620,2744.4360918587417
621,2788.6036365030727
622,2786.7657215097242
623,2766.2060269992758
624,2757.922452948315
625,2753.561363794385
626,2760.6164620273375
627,2710.837278236214
628,2656.6019903646115
629,2630.1312157267307
630,2596.265592512479
631,2667.4951157821074
632,2633.612217126665
633,2681.898994748255
634,2682.7896397163113
635,2673.7315500519653
636,2669.0220728340228
637,2613.6379681232356
638,2596.2991836481274
639,2561.531398505026
640,2561.531398505026
641,2589.843927123187
642,2623.780571595667
643,2605.3361588843513
644,2614.9489821602665
645,2619.5624847049276
646,2668.9587295496563
647,2666.1581885832907
648,2657.8218284620248
649,2627.5341410677224
650,2615.549783615011
651,2611.2155673696006
652,2639.860168357317
653,2595.4786001915672
654,2583.247587828522
655,2593.5245558435477
656,2562.0295070593593
657,2557.533093616102
658,2549.192894507905
659,2578.4344579634344
660,2573.6981078369727
661,2545.045828875394
662,2591.2681912746903
663,2620.9243653187978
664,2619.3830120658904
665,2684.8770888601925
666,2669.189068765533
667,2693.8296063839284
668,2679.3969350157963
669,2707.7814446389184
670,2607.1615971701735
671,2611.483336708057
672,2616.113154947176
673,2479.465374875138
674,2501.976234493408
675,2464.723665059038
676,2443.8318981790335
677,2458.5006672434397
678,2386.332511669114
679,2447.8004509192406
680,2548.0085670396065
681,2490.3757757338244
682,2498.5038708140687
683,2498.9885429141427
684,2494.23491734649
685,2439.775048739408
686,2464.675677722397
687,2498.012480486865
688,2501.3274457020225
689,2568.739096468497
690,2558.1386938045107
691,2552.3082324026354
692,2535.0193547576337
693,2529.539200913237
694,2494.25891101481
695,2524.6329756150662
696,2548.0124060265375
697,2526.286139362347
698,2560.767824004395
699,2571.2667814387223
700,2594.6864252382984
701,2539.3502118894794
702,2544.773548727293
703,2538.9465424136556
704,2475.6504775868557
705,2472.1253278372114
706,2471.0399502570667
707,2497.00810553097
708,2464.095414847735
709,2484.0044970480053
710,2547.933706794446
711,2558.6441924086866
712,2543.1417873321543
713,2500.314241076185
714,2500.992110193575
715,2480.5443221521728
716,2489.6675786196774
717,2497.4074561464963
718,2528.020017809858
719,2489.334162604696
720,2493.396770524719
721,2472.93093924474
722,2446.9351432649305
723,2434.1744466800424
724,2414.9632923038776
725,2425.286808035445
726,2403.991851552984
727,2397.7294081466666
728,2383.1340597073213
729,2393.5087299397483
730,2393.5087299397483
731,2410.84996707252
732,2404.543240700559
733,2421.5629789774575
734,2412.7627805732172
735,2430.5915957517677
736,2413.397402944729
737,2446.308302401736
738,2446.381776977442
