Date,Predict_price,actual_p,actual_p-1
01/07/2020,3097.489724264297,3104.8015,3070.9088
01/23/2020,2974.8332881750516,2976.5281,3038.4868
02/06/2020,2833.410875866192,2866.5097,2792.3713
02/10/2020,2877.6909536024077,2890.4878,2858.9324
02/13/2020,2915.810325643478,2906.0735,2895.5561
02/21/2020,3040.864532470703,3039.6692,2981.8802
02/21/2020,3040.864532470703,3039.6692,2981.8802
03/04/2020,2986.01513671875,3011.6657,3006.8888
03/12/2020,2910.45771772678,2923.4856,3001.7616
03/24/2020,2720.6412312092666,2722.4381,2677.591
04/10/2020,2794.218300630837,2796.6312,2825.8393
04/14/2020,2827.2153137487217,2827.283,2784.5979
04/15/2020,2812.5965388114623,2811.1741,2794.801
04/17/2020,2853.0277392192775,2838.4945,2798.4295
04/22/2020,2844.0339378613185,2843.9804,2842.2372
04/27/2020,2838.4873621197107,2815.4947,2834.9387
05/06/2020,2878.251708984375,2878.1402,2832.3843
05/12/2020,2877.098876953125,2891.5564,2901.5739
05/25/2020,2805.81491558629,2817.9697,2863.0462
06/12/2020,2929.879097242701,2919.7408,2939.7914
06/16/2020,2932.706495555755,2931.7493,2908.2767
06/17/2020,2927.642139803263,2935.873,2912.8251
06/22/2020,2975.1468221792597,2965.2717,2938.7887
07/01/2020,3010.7672818929377,3025.981,2965.1054
07/10/2020,3345.349687664414,3383.3222,3403.4832
07/16/2020,3194.377498063712,3210.0986,3422.0778
07/28/2020,3242.546389460421,3227.9604,3210.3863
07/29/2020,3299.475830078125,3294.5521,3226.1329
09/07/2020,3307.358627319336,3292.5907,3336.4076
09/08/2020,3316.2859497070312,3316.417,3349.9184
09/30/2020,3215.265816370258,3218.0521,3231.8551
10/09/2020,3286.191192626953,3272.0762,3232.7104
10/19/2020,3335.6170806884766,3312.6671,3334.4568
10/22/2020,3300.608564920557,3312.5005,3332.147
10/29/2020,3277.0798906104847,3272.7274,3256.2225
10/30/2020,3248.873452053477,3224.5325,3235.7647
11/19/2020,3351.8392484780707,3363.0876,3337.3315
11/20/2020,3370.8716172003024,3377.7267,3339.0864
12/10/2020,3379.8911712966847,3373.2758,3416.0782
12/23/2020,3399.63650420313,3382.3195,3410.9678
12/29/2020,3386.2642180406347,3379.0362,3396.359
