Date,Predict_price,actual_p,actual_p-1
02/15/2016,2672.1765007174718,2746.196,2783.076
02/29/2016,2683.9735651323667,2687.979,2760.058
03/16/2016,2873.5051789869867,2870.43,2853.978
03/25/2016,2969.7935143311793,2979.434,2986.801
04/14/2016,3076.9344446665855,3082.362,3041.358
05/03/2016,2986.14746282118,2992.643,2935.376
05/17/2016,2844.5065442868417,2843.684,2816.775
05/24/2016,2820.3837646200177,2821.666,2826.312
06/24/2016,2865.945781662563,2854.286,2902.398
06/27/2016,2893.303289493788,2895.703,2883.759
09/27/2016,2978.8460494955457,2998.172,3028.243
10/13/2016,3057.3482879602766,3061.346,3057.316
10/31/2016,3102.208186020513,3100.492,3111.704
12/01/2016,3263.4480863489175,3273.309,3272.142
