,Date,收盘价(元),Predict_price,开盘价(元),Buy,Sell
0,2022-01-04,3632.3289,3611.037769171728,3649.151,,
1,2022-01-05,3595.1761,3586.257595341806,3628.2634,1.0,
2,2022-01-06,3586.0792,3574.011452651487,3581.2184,,
3,2022-01-07,3579.5427,3593.8890934505575,3588.9851,,
4,2022-01-10,3593.5187,3582.0543927090393,3572.7434,,1.0
5,2022-01-11,3567.4409,3572.427345275879,3589.9043,,1.0
6,2022-01-12,3597.4321,3604.1113109588623,3578.1629,1.0,
7,2022-01-13,3555.2585,3557.9465179666067,3601.0265,,
8,2022-01-14,3521.2559,3518.575976548781,3544.0652,,
9,2022-01-17,3541.666,3543.522477857044,3522.0851,,
10,2022-01-18,3569.9144,3570.034163009534,3541.8899,,
11,2022-01-19,3558.1796,3552.361390262058,3567.6309,1.0,
12,2022-01-20,3555.0629,3557.331443786621,3556.2262,,
13,2022-01-21,3522.5679,3514.424065875799,3546.7495,,
14,2022-01-24,3524.105,3519.6459630362165,3508.2441,,
15,2022-01-25,3433.0612,3460.6634193927316,3509.2847,,
16,2022-01-26,3455.6679,3486.753371886855,3442.6916,,
17,2022-01-27,3394.2474,3411.397606514463,3456.1021,,
18,2022-01-28,3361.4397,3365.8321429262683,3407.5933,,
19,2022-02-07,3429.5809,3436.383810160751,3407.7621,1.0,1.0
20,2022-02-08,3452.6288,3417.6449279785156,3428.5424,,
21,2022-02-09,3479.9458,3482.008510671228,3450.818,,1.0
22,2022-02-10,3485.9071,3481.6902990677577,3481.9101,,1.0
23,2022-02-11,3462.9479,3477.7431429713315,3472.2757,,
24,2022-02-14,3428.8821,3419.717148993365,3451.8468,,
25,2022-02-15,3446.0885,3439.055120953443,3428.0447,,
26,2022-02-16,3465.8305,3477.570056864004,3457.073,1.0,
27,2022-02-17,3468.0354,3471.812131992451,3464.2091,,
28,2022-02-18,3490.7573,3485.001314516852,3451.6318,,
29,2022-02-21,3490.6123,3487.037684960597,3488.4057,,1.0
30,2022-02-22,3457.146,3449.913697951896,3473.2874,1.0,
31,2022-02-23,3489.1465,3500.893643160199,3458.5139,,
32,2022-02-24,3429.9564,3436.061938211387,3474.3692,,1.0
33,2022-02-25,3451.4061,3477.507032743078,3445.3361,,
34,2022-02-28,3462.3064,3457.5944600943494,3450.3155,1.0,
35,2022-03-01,3488.8347,3494.696056014834,3471.3646,,
36,2022-03-02,3484.1916,3478.3964995064443,3478.2925,,
37,2022-03-03,3481.1125,3497.317584991455,3495.928,,
38,2022-03-04,3447.649,3440.6678995678085,3459.9845,1.0,
39,2022-03-07,3372.8552,3359.830511684742,3438.5602,1.0,
40,2022-03-08,3293.5301,3262.493747843843,3372.5546,,
41,2022-03-09,3256.3884,3203.568238663592,3303.706,1.0,1.0
42,2022-03-10,3296.0922,3290.7640026801855,3312.1789,,
43,2022-03-11,3309.7467,3188.250522368626,3259.3227,,
44,2022-03-14,3223.5328,3169.6545333859053,3271.8902,1.0,1.0
45,2022-03-15,3063.9652,3020.5072631835938,3192.3637,,
46,2022-03-16,3170.7103,3440.319457425191,3107.669,,1.0
47,2022-03-17,3215.0445,3256.3096142244494,3215.0105,,
48,2022-03-18,3251.0724,3228.640668949754,3207.1522,,
49,2022-03-21,3253.6857,3214.954060560985,3255.6152,,
50,2022-03-22,3259.8619,3269.764870931076,3249.5428,,
51,2022-03-23,3271.0325,3264.4086097835984,3264.7923,,
52,2022-03-24,3250.2644,3239.321741487674,3256.0573,,
53,2022-03-25,3212.2399,3224.9998142848062,3247.1568,,
54,2022-03-28,3214.5027,3222.954649165171,3185.1668,,1.0
55,2022-03-29,3203.9393,3210.148636307478,3216.0118,,
56,2022-03-30,3266.5959,3259.1103046720764,3217.5921,,
57,2022-03-31,3252.2029,3266.9663153730016,3256.1369,1.0,
