Date,Predict_price,actual_p,actual_p-1
01/18/2016,2943.169043424608,2913.837,2988.048
02/15/2016,2672.1765007174718,2746.196,2783.076
02/18/2016,2876.821466632419,2862.893,2829.764
03/03/2016,2859.4068684801637,2859.758,2733.767
04/06/2016,3060.681140492974,3050.592,3000.938
04/29/2016,2940.187324523926,2938.324,2955.742
05/11/2016,2844.2145560361414,2837.037,2822.327
05/31/2016,2874.2391204833984,2916.616,2814.651
06/03/2016,2939.14786529541,2938.682,2911.219
08/16/2016,3091.141362970594,3110.037,3056.484
08/29/2016,3073.7135130748,3070.027,3069.85
09/01/2016,3067.084496267926,3063.305,3072.916
09/07/2016,3089.4292697907604,3091.928,3071.055
09/13/2016,3037.4216761223634,3023.51,3037.507
09/30/2016,2994.1835133151476,3004.703,2992.168
11/01/2016,3128.0464323810666,3122.436,3097.188
11/02/2016,3108.3414459228516,3102.733,3101.664
11/11/2016,3155.894561767578,3196.044,3148.544
11/25/2016,3238.0274799180725,3261.938,3237.428
12/02/2016,3254.3419321296365,3243.843,3257.027
12/05/2016,3176.967977253509,3204.709,3270.121
12/13/2016,3147.3311816635864,3155.037,3233.666
