Date,Predict_price,actual_p,actual_p-1,type,difference
02/15/2016,2672.176500717472,2746.196,2783.076,buy,-74.0194992825277
02/29/2016,2683.9735651323667,2687.979,2760.058,buy,-4.005434867633085
03/16/2016,2873.5051789869867,2870.43,2853.978,buy,3.0751789869868844
03/25/2016,2969.7935143311793,2979.434,2986.801,buy,-9.64048566882093
04/14/2016,3076.9344446665855,3082.362,3041.358,buy,-5.4275553334146025
05/03/2016,2986.14746282118,2992.643,2935.376,buy,-6.495537178820086
05/17/2016,2844.5065442868417,2843.684,2816.775,buy,0.8225442868415485
05/24/2016,2820.3837646200177,2821.666,2826.312,buy,-1.2822353799824668
06/24/2016,2865.945781662563,2854.286,2902.398,buy,11.659781662563091
06/27/2016,2893.303289493788,2895.703,2883.759,buy,-2.399710506212159
09/27/2016,2978.8460494955457,2998.172,3028.243,buy,-19.32595050445434
10/13/2016,3057.3482879602766,3061.346,3057.316,buy,-3.9977120397234103
10/31/2016,3102.208186020513,3100.492,3111.704,buy,1.7161860205128505
12/01/2016,3263.4480863489175,3273.309,3272.142,buy,-9.860913651082683
01/18/2016,2943.169043424608,2913.837,2988.048,sell,29.332043424607946
02/15/2016,2672.176500717472,2746.196,2783.076,sell,-74.0194992825277
02/18/2016,2876.821466632419,2862.893,2829.764,sell,13.928466632418804
03/03/2016,2859.4068684801637,2859.758,2733.767,sell,-0.35113151983614443
04/06/2016,3060.681140492974,3050.592,3000.938,sell,10.089140492973911
04/29/2016,2940.187324523926,2938.324,2955.742,sell,1.8633245239257121
05/11/2016,2844.2145560361414,2837.037,2822.327,sell,7.1775560361415955
05/31/2016,2874.2391204833984,2916.616,2814.651,sell,-42.37687951660155
06/03/2016,2939.14786529541,2938.682,2911.219,sell,0.46586529541036725
08/16/2016,3091.141362970594,3110.037,3056.484,sell,-18.89563702940586
08/29/2016,3073.7135130748,3070.027,3069.85,sell,3.686513074800132
09/01/2016,3067.084496267926,3063.305,3072.916,sell,3.7794962679263335
09/07/2016,3089.4292697907604,3091.928,3071.055,sell,-2.498730209239511
09/13/2016,3037.4216761223634,3023.51,3037.507,sell,13.911676122363133
09/30/2016,2994.1835133151476,3004.703,2992.168,sell,-10.519486684852382
11/01/2016,3128.0464323810666,3122.436,3097.188,sell,5.610432381066403
11/02/2016,3108.3414459228516,3102.733,3101.664,sell,5.608445922851388
11/11/2016,3155.894561767578,3196.044,3148.544,sell,-40.149438232421744
11/25/2016,3238.0274799180725,3261.938,3237.428,sell,-23.910520081927643
12/02/2016,3254.3419321296365,3243.843,3257.027,sell,10.498932129636614
12/05/2016,3176.967977253509,3204.709,3270.121,sell,-27.74102274649067
12/13/2016,3147.3311816635864,3155.037,3233.666,sell,-7.705818336413358
