Date,Predict_price,actual_p,actual_p-1
01/12/2024,2887.0339279174805,2881.9769,2873.7982
01/17/2024,2853.3094177246094,2833.6152,2881.5602
01/26/2024,2923.0118103027344,2910.2227,2823.8259
02/02/2024,2748.823284689373,2730.152,2773.4239
02/08/2024,2866.2684641283254,2865.9032,2791.5145
02/19/2024,2914.551024536841,2910.544,2832.4855
02/23/2024,3002.2917380636754,3004.881,2945.4465
02/26/2024,2973.1623764038086,2977.0221,2992.9115
02/28/2024,2969.342732580041,2957.8524,2966.4166
03/01/2024,3024.685478210449,3027.0204,2943.6242
03/07/2024,3039.5697751176945,3027.4013,3041.7518
03/12/2024,3046.812107336306,3055.935,3042.6188
03/26/2024,3034.2305429491307,3031.4809,3040.501
04/08/2024,3043.183227513969,3047.0526,3074.8929
04/18/2024,3077.5292482458203,3074.2246,3008.0614
04/19/2024,3060.417703777829,3065.261,3060.0309
04/30/2024,3105.4022424262557,3104.8245,3086.6819
05/10/2024,3159.6522634535795,3154.5472,3128.1644
05/13/2024,3140.2973671888517,3148.0207,3158.5891
05/17/2024,3153.916075003568,3154.0263,3127.1841
05/17/2024,3153.916075003568,3154.0263,3127.1841
05/21/2024,3150.5818254670435,3157.9657,3156.1482
05/22/2024,3157.4367493401087,3158.5399,3164.6826
05/31/2024,3091.1863153742474,3086.8134,3103.7078
05/31/2024,3091.1863153742474,3086.8134,3103.7078
06/06/2024,3056.745906670118,3048.7939,3086.0509
06/19/2024,3022.8254223904264,3018.0491,3015.0713
07/09/2024,2947.0582124509065,2959.3724,2939.8367
07/11/2024,2975.4726853283364,2970.3874,2949.0261
07/22/2024,2971.107939552305,2964.2155,2963.5144
07/29/2024,2894.070182129464,2891.8453,2885.9953
08/09/2024,2873.0811902438254,2862.1941,2864.758
08/23/2024,2853.038689069673,2854.3675,2856.2001
09/02/2024,2804.805472803491,2811.035,2819.6498
09/06/2024,2740.5705249384773,2765.8066,2785.2635
09/19/2024,2736.551976297591,2736.0222,2705.3451
09/26/2024,2983.2241697370146,3000.9526,2901.4185
09/30/2024,3854.96526110135,3336.4974,3049.1026
10/11/2024,3231.6844887240704,3217.7377,3277.6916
10/18/2024,3246.9810376934242,3261.5633,3220.7334
10/21/2024,3284.2174525732507,3268.11,3165.9745
11/01/2024,3273.794906997138,3272.0142,3267.975
11/08/2024,3420.902811803836,3452.2971,3359.9851
11/14/2024,3394.6688859229,3379.8389,3406.9164
11/18/2024,3342.8675840632495,3323.8486,3369.8092
11/19/2024,3307.216026589314,3346.0098,3344.6904
11/27/2024,3279.7265625,3309.7789,3256.8576
12/02/2024,3354.5276238620495,3363.9823,3295.2096
12/03/2024,3370.665644884643,3378.8063,3328.482
12/10/2024,3452.520478751679,3422.6607,3402.6288
12/19/2024,3352.3588041870903,3370.0331,3371.2955
