Date,Predict_price,actual_p,actual_p-1
01/10/2022,3582.0543927090393,3593.5187,3588.9851
01/11/2022,3572.427345275879,3567.4409,3572.7434
02/07/2022,3436.383810160751,3429.5809,3407.5933
02/09/2022,3482.008510671228,3479.9458,3428.5424
02/10/2022,3481.6902990677577,3485.9071,3450.818
02/21/2022,3487.037684960597,3490.6123,3451.6318
02/24/2022,3436.061938211387,3429.9564,3458.5139
03/09/2022,3203.568238663592,3256.3884,3372.5546
03/14/2022,3169.6545333859053,3223.5328,3259.3227
03/16/2022,3440.319457425191,3170.7103,3192.3637
03/28/2022,3222.954649165171,3214.5027,3247.1568
04/01/2022,3284.8996689495043,3282.7166,3256.1369
04/21/2022,3122.0617426773106,3079.8077,3189.8912
04/25/2022,2908.690853428298,2928.5118,3058.4044
04/28/2022,2945.365037821548,2975.4848,2866.8161
05/06/2022,2965.6573865486125,3001.5605,3044.8491
05/16/2022,3074.182713618516,3073.7488,3068.0331
05/20/2022,3136.410349262034,3146.5673,3046.7104
06/07/2022,3250.6664792057436,3241.7635,3196.9552
07/11/2022,3315.4547396118314,3313.584,3380.3686
07/15/2022,3246.0952980904,3228.0609,3277.4545
07/22/2022,3266.4264841105196,3269.9739,3297.6614
08/02/2022,3163.200339467813,3186.2664,3246.6161
09/09/2022,3268.0885308567786,3262.0542,3245.557
09/13/2022,3273.3712603895424,3263.7972,3241.1809
09/30/2022,3016.6789862134337,3024.3905,3067.4727
10/10/2022,2971.021959837457,2974.1454,3042.1664
10/17/2022,3056.5968135752296,3084.9423,3035.0341
10/20/2022,3038.6168212890625,3035.0504,3073.2616
10/24/2022,2985.5110795184414,2977.5554,3038.0358
10/31/2022,2920.70893329348,2893.4829,2967.0221
11/02/2022,2991.633731398974,3003.3699,2899.4985
11/03/2022,2976.857885378387,2997.8057,2960.6465
11/11/2022,3122.427171670677,3087.2926,3031.6915
11/11/2022,3122.427171670677,3087.2926,3031.6915
11/25/2022,3104.9108239617194,3101.6932,3104.0955
12/12/2022,3179.390598738954,3179.0417,3197.1183
12/20/2022,3088.4375177522943,3073.7659,3165.3092
12/21/2022,3090.493122309708,3068.4105,3098.9532
12/22/2022,3068.4144018359916,3054.4313,3078.3312
12/23/2022,3044.136371463294,3045.8664,3085.8004
12/28/2022,3083.048068783876,3087.3997,3077.7469
12/29/2022,3059.456540166523,3073.7016,3088.6174
