,Date,收盘价(元),Predict_price,开盘价(元),Buy,Sell
0,2019-01-04,2514.8682,2488.689769361794,2446.0193,,
1,2019-01-07,2533.0887,2515.5818078120483,2528.6987,,
2,2019-01-08,2526.4622,2513.6128791741867,2530.3001,,
3,2019-01-09,2544.3449,2573.8472493900254,2536.4173,,
4,2019-01-10,2535.0985,2528.918130724742,2543.8534,,
5,2019-01-11,2553.8313,2542.625895320337,2539.5487,,
6,2019-01-14,2535.7653,2529.6833488778725,2553.3284,,
7,2019-01-15,2570.3449,2561.3708086013794,2537.3697,,
8,2019-01-16,2570.4221,2563.0919638534515,2569.0697,,
9,2019-01-17,2559.637,2561.6882816179495,2573.5755,,1.0
10,2019-01-18,2596.0056,2593.5098334434724,2567.7386,,
11,2019-01-21,2610.5094,2610.9084263655973,2599.0575,,1.0
12,2019-01-22,2579.7041,2571.516652881458,2609.6421,,
13,2019-01-23,2581.0041,2593.6010485403467,2575.2583,,1.0
14,2019-01-24,2591.6935,2587.043987234409,2584.6481,,
15,2019-01-25,2601.7234,2618.1563937032583,2596.2618,,
16,2019-01-28,2596.9767,2605.890502260488,2615.7118,,
17,2019-01-29,2594.2536,2569.5157921635914,2592.3549,,
18,2019-01-30,2575.5756,2595.255859375,2584.7459,,
19,2019-01-31,2584.5724,2594.997348559591,2581.3315,1.0,
20,2019-02-01,2618.2323,2614.5597420212766,2597.7777,1.0,1.0
21,2019-02-11,2653.896,2658.2421912864047,2613.1742,,
22,2019-02-12,2671.8937,2674.4114561517795,2654.0349,,
23,2019-02-13,2721.0683,2742.2117665665633,2674.5198,,
24,2019-02-14,2719.6999,2727.7681774316043,2715.5358,,
25,2019-02-15,2682.385,2684.229751586914,2712.7862,,
26,2019-02-18,2754.3566,2769.4310855588983,2699.8171,,
27,2019-02-19,2755.6459,2770.316656856325,2759.496,,
28,2019-02-20,2761.2189,2749.2547749531636,2761.0588,,
29,2019-02-21,2751.8012,2770.6720098151623,2759.9383,1.0,
30,2019-02-22,2804.2262,2752.1945912429733,2749.4615,,
