Date,Predict_price,actual_p,actual_p-1
01/31/2019,2594.997348559591,2584.5724,2584.7459
02/01/2019,2614.5597420212766,2618.2323,2581.3315
02/21/2019,2770.6720098151623,2751.8012,2761.0588
02/25/2019,2839.0151546801108,2961.2834,2749.4615
03/28/2019,2996.6899893306518,2994.9434,3012.2573
04/08/2019,3397.989857015896,3244.8103,3233.6886
04/10/2019,3239.0638559562835,3241.9299,3240.3938
05/06/2019,2889.25528322366,2906.464,3052.6223
05/16/2019,2956.7535705566406,2955.711,2902.6423
05/24/2019,2859.1910648717367,2852.9948,2880.8426
06/27/2019,3007.860563757508,2996.7926,2964.6153
07/05/2019,3009.13753508202,3011.0588,3015.6785
07/10/2019,2923.565139223888,2915.3022,2928.8188
07/12/2019,2927.3189086914062,2930.5462,2928.0553
07/22/2019,2891.636720816137,2886.974,2909.6794
07/25/2019,2928.4453568468357,2937.3601,2907.9275
08/07/2019,2787.687440531449,2768.6795,2776.9889
09/25/2019,2962.9176177479308,2955.4325,2979.4752
09/30/2019,2909.7551879882812,2905.1892,2929.486
10/17/2019,2980.628405278882,2977.3342,2992.6103
11/21/2019,2903.534454345703,2903.6379,2928.1068
12/03/2019,2876.1204618460233,2884.6988,2874.4484
12/06/2019,2908.6794732384797,2912.0136,2886.5164
12/13/2019,2986.0128454633305,2967.6764,2926.3416
