,Date,收盘价(元),Predict_price,开盘价(元),Buy,Sell
0,2021-01-04,3502.9584,3495.7183528503965,3474.6793,,
1,2021-01-05,3528.6767,3542.5249045816886,3492.1912,,
2,2021-01-06,3550.8767,3565.667510986328,3530.9072,,
3,2021-01-07,3576.2046,3562.9327790502107,3552.9087,1.0,
4,2021-01-08,3570.1082,3571.4356074307616,3577.6923,,
5,2021-01-11,3531.4978,3520.4876431009493,3571.3212,,1.0
6,2021-01-12,3608.3389,3641.0230217221733,3518.0106,,
7,2021-01-13,3598.6518,3607.760507740533,3613.281,,1.0
8,2021-01-14,3565.9046,3569.6898404592644,3584.9324,,
9,2021-01-15,3566.3778,3562.609246591428,3566.2847,,
10,2021-01-18,3596.2237,3604.4579428078255,3554.7977,1.0,
11,2021-01-19,3566.3814,3553.6277237824297,3596.3564,,
12,2021-01-20,3583.092,3592.4672460337015,3564.121,1.0,
13,2021-01-21,3621.2641,3646.8728582426475,3590.9247,,
14,2021-01-22,3606.7496,3591.7060720198765,3616.5401,,
15,2021-01-25,3624.2381,3620.8408956259755,3605.3611,,1.0
16,2021-01-26,3569.429,3574.0881508033,3610.9686,,
17,2021-01-27,3573.3412,3572.9974610751374,3567.5485,,
18,2021-01-28,3505.1759,3487.7401135779446,3534.6685,,
19,2021-01-29,3483.0692,3471.186248779297,3521.7175,,
20,2021-02-01,3505.2836,3519.6282731288406,3477.1715,,
21,2021-02-02,3533.6849,3545.4954936066215,3510.8084,,
22,2021-02-03,3517.308,3526.691793653973,3531.149,,
23,2021-02-04,3501.8592,3486.9433037255285,3503.7785,,
24,2021-02-05,3496.3329,3517.701208400897,3509.4874,,
25,2021-02-08,3532.4467,3540.3602923085746,3504.5631,,1.0
26,2021-02-08,3532.4467,3540.3602923085746,3504.5631,,1.0
27,2021-02-09,3603.489,3597.7543464658847,3539.7726,,
28,2021-02-10,3655.088,3639.4661333593835,3612.6125,,1.0
29,2021-02-18,3675.3571,3757.808217583401,3721.0865,,1.0
30,2021-02-18,3675.3571,3757.808217583401,3721.0865,,1.0
31,2021-02-19,3696.168,3645.16493284839,3661.7834,,1.0
32,2021-02-22,3642.4449,3639.2501796086044,3707.1912,,
33,2021-02-23,3636.3573,3639.2142574858162,3617.7013,,
34,2021-02-24,3564.0799,3582.6160888671875,3638.9359,1.0,
35,2021-02-25,3585.0458,3607.686167076469,3595.5424,,
36,2021-02-26,3509.0804,3473.7205904985367,3514.5648,,1.0
37,2021-03-01,3551.3998,3559.880226585958,3531.4802,,
38,2021-03-02,3508.5912,3506.329658522004,3566.852,,
39,2021-03-03,3576.9045,3565.7811556728993,3500.1576,,
40,2021-03-04,3503.4916,3494.6429951371492,3546.6406,,
41,2021-03-05,3501.9867,3484.355356461966,3463.3086,,
42,2021-03-08,3421.4141,3454.7092206319303,3524.983,,
43,2021-03-09,3359.292,3353.3878924253404,3415.3391,,
44,2021-03-10,3357.7372,3375.011498421024,3389.8388,,
45,2021-03-11,3436.8313,3445.131586122828,3369.9024,,
46,2021-03-12,3453.0777,3436.7638397216797,3447.2033,,1.0
47,2021-03-15,3419.9456,3407.936994252338,3441.882,,
48,2021-03-16,3446.7334,3442.389403340786,3424.6524,,
49,2021-03-17,3445.5509,3437.9236707743826,3435.7319,1.0,1.0
50,2021-03-18,3463.0681,3487.91167434197,3449.6413,,
51,2021-03-19,3404.6634,3391.052373865668,3423.8733,1.0,
52,2021-03-22,3443.4392,3452.5230174650274,3406.1227,,
53,2021-03-23,3411.5088,3406.592472023758,3445.3408,,
54,2021-03-24,3367.0606,3374.6737711847686,3394.1283,,
55,2021-03-25,3363.5915,3358.940085629201,3355.0706,,
56,2021-03-26,3418.3267,3429.6993408203125,3373.3171,1.0,
57,2021-03-29,3435.2958,3443.391873974517,3429.6322,,1.0
58,2021-03-30,3456.6766,3456.5113727115886,3432.5288,,
59,2021-03-31,3441.9115,3438.3033348745466,3452.2078,,
60,2021-04-01,3466.3315,3474.5357463101273,3444.8102,,
61,2021-04-02,3484.3924,3494.414545671835,3472.6276,,
62,2021-04-06,3482.9674,3490.594704845498,3491.6336,,
63,2021-04-07,3479.6256,3470.032304923282,3483.4211,,
64,2021-04-08,3482.5548,3482.683672120425,3467.4871,,
65,2021-04-09,3450.6772,3450.57080078125,3475.4434,,
66,2021-04-12,3412.9477,3414.048361133244,3445.9696,,
67,2021-04-13,3396.47,3399.84337176729,3411.2928,,
68,2021-04-14,3416.7212,3410.674585113002,3397.021,,
69,2021-04-15,3398.9875,3378.1027787131525,3409.6139,,
70,2021-04-16,3426.6178,3426.363151135246,3407.188,,
71,2021-04-19,3477.5485,3464.205655300762,3427.548,,
72,2021-04-20,3472.9427,3486.394756477794,3467.1481,,
73,2021-04-21,3472.9298,3470.356603552465,3456.2991,1.0,
74,2021-04-22,3465.1138,3473.4590931450225,3482.8328,,
75,2021-04-23,3474.166,3476.2263948183395,3462.0858,,
76,2021-04-26,3441.1658,3449.7313920387737,3484.1072,,
77,2021-04-27,3442.6111,3426.4659569119112,3440.0911,,
78,2021-04-28,3457.0683,3444.6521252329553,3432.1612,,
79,2021-04-29,3474.9011,3473.686876255384,3458.0819,,
80,2021-04-30,3446.8564,3441.27964560815,3468.3022,,1.0
81,2021-05-06,3441.2826,3454.1064453125,3446.0743,,1.0
82,2021-05-07,3418.8741,3432.6428809959775,3446.407,1.0,
83,2021-05-10,3427.9909,3419.9609778615004,3423.5896,,
84,2021-05-11,3441.8454,3416.765556335449,3406.598,,
85,2021-05-12,3462.7513,3465.3988845019926,3429.7544,,
86,2021-05-13,3429.5361,3431.3544185207957,3432.138,1.0,
87,2021-05-14,3490.3762,3483.8567578815855,3436.0919,1.0,
88,2021-05-17,3517.6158,3527.8815048122087,3490.4091,,1.0
89,2021-05-17,3517.6158,3527.8815048122087,3490.4091,,1.0
90,2021-05-18,3529.0144,3524.2817537303918,3520.6488,,
91,2021-05-19,3510.9647,3506.8182799212354,3521.1097,,
92,2021-05-20,3506.9444,3504.7999166985974,3500.8773,,
93,2021-05-21,3486.5569,3494.7489013671875,3510.8353,,
94,2021-05-24,3497.2821,3495.4947219916094,3486.2711,,1.0
95,2021-05-25,3581.3418,3580.3541559260602,3502.539,,
96,2021-05-26,3593.357,3571.469477407209,3586.8388,1.0,
97,2021-05-27,3608.8507,3622.5677406177474,3585.7337,,
98,2021-05-28,3600.7844,3604.248176574707,3610.7668,1.0,
99,2021-05-31,3615.4773,3603.073276439686,3600.0702,,
100,2021-06-01,3624.7138,3615.6800804138184,3608.5978,,1.0
101,2021-06-02,3597.1379,3618.3003817249073,3626.3283,,
102,2021-06-03,3584.2121,3616.8450668917426,3595.4215,,
103,2021-06-04,3591.8447,3601.73399925205,3565.4716,,
104,2021-06-07,3599.541,3601.64794921875,3597.1413,,
105,2021-06-08,3580.1063,3594.327754047715,3598.7527,,
106,2021-06-09,3591.3965,3588.522040588535,3576.8015,,
107,2021-06-10,3610.859,3613.039638397502,3587.5282,1.0,
108,2021-06-11,3589.7481,3593.5503033515356,3614.1134,,
109,2021-06-15,3556.559,3552.3845196228417,3587.4658,,
110,2021-06-16,3518.3292,3517.748836291438,3556.7139,,1.0
111,2021-06-17,3525.6042,3527.221808447575,3508.317,,
112,2021-06-18,3525.0968,3521.457677952318,3520.4966,,
113,2021-06-21,3529.1826,3527.345978702474,3515.5006,,
114,2021-06-22,3557.412,3568.7913673218445,3539.7876,,
115,2021-06-23,3566.2199,3568.7549442501604,3559.3988,1.0,
116,2021-06-24,3566.6539,3556.941280419861,3568.5758,,
117,2021-06-25,3607.5618,3609.4503696599054,3567.3772,1.0,
118,2021-06-28,3606.3722,3594.095705632259,3612.2469,,
119,2021-06-29,3573.1779,3569.272683947404,3601.6772,,
120,2021-06-30,3591.197,3588.29537139246,3572.6236,,
121,2021-07-01,3588.7816,3592.8464801712053,3600.5464,,
122,2021-07-02,3518.7595,3502.8165429022756,3569.8919,,
123,2021-07-05,3534.3222,3537.1899258670887,3516.9228,,1.0
124,2021-07-06,3530.2589,3517.333666223433,3533.1304,,
125,2021-07-07,3553.7155,3538.578729326282,3508.5901,,
126,2021-07-08,3525.5039,3539.0981040222373,3557.2177,,
127,2021-07-09,3524.0881,3515.3687546679603,3512.2334,1.0,
128,2021-07-12,3547.8362,3570.5359781120983,3545.1977,,
129,2021-07-13,3566.5225,3566.209967187976,3547.5897,,
130,2021-07-14,3528.5011,3528.0167155247414,3560.8281,,
131,2021-07-15,3564.5902,3557.9257214650584,3519.063,,
132,2021-07-16,3539.3038,3542.1868862372803,3559.526,,
133,2021-07-19,3539.1225,3530.952880859375,3530.4932,,
134,2021-07-20,3536.7905,3527.567021421874,3515.0718,,
135,2021-07-21,3562.6611,3574.974708688051,3543.0534,,
136,2021-07-22,3574.7344,3575.378387451172,3563.6608,,
137,2021-07-23,3550.3964,3549.7601219433177,3571.7152,,
138,2021-07-26,3467.4409,3454.3296672703973,3538.0143,,1.0
139,2021-07-27,3381.1833,3410.131054544001,3467.4473,,
140,2021-07-28,3361.5895,3320.5090942382812,3355.8189,,
141,2021-07-29,3411.724,3454.8961181640625,3403.8383,1.0,1.0
142,2021-07-30,3397.3574,3386.3068339617166,3398.196,,
143,2021-08-02,3464.2854,3465.3309822620836,3385.6902,,1.0
144,2021-08-02,3464.2854,3465.3309822620836,3385.6902,,1.0
145,2021-08-03,3447.9914,3449.463068443554,3446.7841,1.0,
146,2021-08-04,3477.2186,3476.052325565168,3442.9368,,
147,2021-08-05,3466.5491,3466.869913988363,3461.7185,,
148,2021-08-06,3458.2277,3450.7744449199495,3465.4842,1.0,
149,2021-08-09,3494.6348,3502.1590012166307,3441.7502,,
150,2021-08-10,3529.9309,3528.05879789484,3488.6642,,
151,2021-08-11,3532.6213,3531.969200128131,3527.1093,,
152,2021-08-12,3524.7374,3520.7895293290776,3522.7238,,
153,2021-08-13,3516.2989,3521.0714952157796,3514.4671,,
154,2021-08-16,3517.3447,3524.8044968317427,3514.3445,,
155,2021-08-17,3446.976,3457.7642495295586,3512.109,,
156,2021-08-18,3485.2859,3474.397751602977,3442.3472,1.0,
157,2021-08-19,3465.5546,3451.132861406413,3475.298,,
158,2021-08-20,3427.3338,3403.837951093481,3442.5062,,1.0
159,2021-08-23,3477.1321,3478.859128238612,3436.7963,,1.0
160,2021-08-24,3514.471,3520.370849609375,3482.2658,,
161,2021-08-25,3540.3837,3533.2995954744692,3517.9151,,
162,2021-08-26,3501.6643,3504.95531923486,3537.3139,,
163,2021-08-27,3522.1567,3522.3209553396623,3494.4176,,
164,2021-08-30,3528.1512,3535.951815696463,3535.0727,,
165,2021-08-31,3543.9402,3537.012189613581,3519.0245,,
166,2021-09-01,3567.1008,3573.771555299161,3543.8663,,
167,2021-09-02,3597.0426,3590.5730491065206,3559.9025,1.0,
168,2021-09-03,3581.7344,3593.557686740859,3602.7421,,
169,2021-09-06,3621.8593,3620.036919740089,3580.1413,,
170,2021-09-07,3676.5866,3667.896632337346,3621.7099,,
171,2021-09-08,3675.1865,3683.613898122595,3673.4023,,1.0
172,2021-09-09,3693.1296,3690.365113575707,3666.8246,1.0,
173,2021-09-10,3703.1103,3712.0143611740364,3691.1856,,1.0
174,2021-09-13,3715.3723,3709.906386597266,3699.2534,,
175,2021-09-14,3662.6015,3601.547882080078,3709.6336,1.0,
176,2021-09-15,3656.2232,3669.199557249733,3651.1583,1.0,
177,2021-09-16,3607.0922,3625.3150155605676,3664.841,,
178,2021-09-17,3613.9663,3606.933800088972,3595.2715,,
179,2021-09-22,3628.4897,3620.5044743287845,3563.2074,,1.0
180,2021-09-23,3642.2204,3667.046211402728,3651.2661,,1.0
181,2021-09-24,3613.0673,3615.419876690313,3637.8677,,
182,2021-09-27,3582.8307,3586.7842759569035,3625.9597,,1.0
183,2021-09-28,3602.2184,3597.6568603515625,3577.8859,,
184,2021-09-29,3536.2944,3498.979156315219,3573.5178,,
185,2021-09-30,3568.1668,3576.662110444529,3541.9283,,1.0
186,2021-10-08,3592.1666,3604.105070271231,3609.0874,,
187,2021-10-11,3591.7087,3586.25993365529,3600.3569,,
188,2021-10-12,3546.9362,3528.3355352689773,3581.2967,,
189,2021-10-13,3561.7623,3557.10750082123,3543.4918,,1.0
190,2021-10-14,3558.2795,3557.1786656420763,3555.1085,,
191,2021-10-15,3572.3662,3570.052686344798,3551.9874,,1.0
192,2021-10-18,3568.1379,3552.88318692652,3571.0482,,
193,2021-10-19,3593.1533,3595.443891397115,3562.2955,,
194,2021-10-20,3587.0009,3578.990591133882,3583.2364,,
195,2021-10-21,3594.7831,3597.977810175032,3590.0496,,
196,2021-10-22,3582.6036,3587.150982950842,3594.7457,,
197,2021-10-25,3609.8626,3600.137335781793,3574.2631,,
198,2021-10-26,3597.6377,3598.3611616828575,3612.8332,,
199,2021-10-27,3562.3052,3555.9921686078715,3589.8573,,1.0
200,2021-10-28,3518.4166,3519.3474217270727,3548.7021,,
201,2021-10-29,3547.3361,3547.126125471995,3519.3276,,1.0
202,2021-11-01,3544.4795,3548.847267094291,3530.3963,,1.0
203,2021-11-02,3505.6283,3518.6834317512094,3543.3827,,
204,2021-11-03,3498.5368,3500.7560101637414,3501.1051,,
205,2021-11-04,3526.8657,3528.309991237484,3505.8944,,
206,2021-11-05,3491.5677,3498.389291460212,3520.2073,,
207,2021-11-08,3498.6308,3500.768579246419,3491.9709,,
208,2021-11-09,3507.0018,3504.7472534179688,3507.1075,,
209,2021-11-10,3492.4616,3471.200110889469,3498.9445,,
210,2021-11-11,3532.7858,3525.2972698181648,3486.451,,1.0
211,2021-11-12,3539.1002,3542.842132997879,3534.1512,,
212,2021-11-15,3533.3026,3529.5358404989497,3542.9034,,
213,2021-11-16,3521.7867,3533.4672556191445,3530.4575,,
214,2021-11-17,3537.3662,3529.071468446118,3518.5646,,
215,2021-11-18,3520.7106,3517.496024158659,3531.4923,,
216,2021-11-19,3560.3734,3560.4030012864096,3519.2758,,
217,2021-11-22,3582.0797,3577.8779568352065,3562.7628,,
218,2021-11-23,3589.0894,3585.8268901251704,3580.5058,,1.0
219,2021-11-24,3592.7025,3584.8749042665813,3590.0189,1.0,
220,2021-11-25,3584.1788,3579.0189997496072,3593.3883,,1.0
221,2021-11-26,3564.0894,3557.0336810880035,3576.1136,1.0,1.0
222,2021-11-29,3562.6968,3556.6243110372257,3528.672,,
223,2021-11-30,3563.8872,3577.616047943007,3570.7468,,
224,2021-12-01,3576.8853,3578.925377571125,3561.886,,
225,2021-12-02,3573.8358,3583.6518421217756,3573.2468,,
226,2021-12-03,3607.4322,3611.829009883037,3576.4496,,
227,2021-12-06,3589.3061,3599.3339124464414,3615.2356,,1.0
228,2021-12-07,3595.0882,3591.1719428371375,3611.217,,
229,2021-12-08,3637.5675,3634.5847867820326,3602.824,,
230,2021-12-09,3673.0412,3660.4774889486885,3641.1579,,
231,2021-12-10,3666.3479,3651.8199521345605,3654.3684,,
232,2021-12-13,3681.082,3699.095386783345,3686.9368,1.0,
233,2021-12-14,3661.5253,3652.2266770887086,3669.8067,,
234,2021-12-15,3647.6303,3652.031131466236,3655.0489,,
235,2021-12-16,3675.016,3673.052528550047,3648.9271,,
236,2021-12-17,3632.3638,3621.463059635137,3670.2578,1.0,1.0
237,2021-12-20,3593.6019,3627.0610994855906,3620.0371,,
238,2021-12-21,3625.1251,3633.110279758344,3591.4519,,
239,2021-12-22,3622.6178,3619.241304612284,3632.6763,,
240,2021-12-23,3643.3391,3641.6140883034514,3625.4695,1.0,1.0
241,2021-12-24,3618.0535,3616.4198333729496,3645.3948,,
242,2021-12-27,3615.9741,3618.027378332066,3613.0469,1.0,
243,2021-12-28,3630.1115,3627.267282224938,3619.6419,,
244,2021-12-29,3597.0002,3600.0769867829763,3630.9159,,1.0
245,2021-12-30,3619.1886,3626.77683475806,3596.4921,,
246,2021-12-31,3639.7754,3639.585753499761,3626.242,,
