,Date,收盘价(元),Predict_price,开盘价(元),Buy,Sell
0,2020-01-06,3083.4083,3075.331197989052,3070.9088,,
1,2020-01-07,3104.8015,3097.489724264297,3085.4882,1.0,
2,2020-01-08,3066.8925,3077.9488164246814,3094.2389,,
3,2020-01-09,3094.8819,3108.8125114885643,3082.6398,,
4,2020-01-10,3092.2907,3099.4157882849768,3102.2938,,
5,2020-01-13,3115.5696,3114.1762526445873,3091.493,,
6,2020-01-14,3106.8204,3111.928503150657,3120.6669,,
7,2020-01-15,3090.0379,3095.4819946289062,3103.1749,,
8,2020-01-16,3074.0814,3087.9229010116546,3095.7342,,
9,2020-01-17,3075.4955,3079.255709843571,3081.4641,,
10,2020-01-20,3095.7873,3086.7158948220867,3082.1134,,
11,2020-01-21,3052.1419,3050.69482421875,3085.7895,,
12,2020-01-22,3060.7545,3049.5066660516777,3038.4868,,
13,2020-01-23,2976.5281,2974.8332881750516,3037.9524,1.0,
14,2020-02-03,2746.6056,2646.160531034837,2716.6978,,
15,2020-02-04,2783.2875,3048.694653282221,2685.2693,,
16,2020-02-05,2818.0878,2850.223496296818,2792.3713,,
17,2020-02-06,2866.5097,2833.410875866192,2826.8851,1.0,
18,2020-02-07,2875.9636,2862.118305553151,2858.9324,,
19,2020-02-10,2890.4878,2877.6909536024077,2860.499,1.0,1.0
20,2020-02-11,2901.6744,2915.8432678554027,2894.5414,,
21,2020-02-12,2926.8991,2925.3059393683657,2895.5561,,1.0
22,2020-02-13,2906.0735,2915.810325643478,2927.1443,1.0,
23,2020-02-14,2917.0077,2911.423218503457,2899.8659,,
24,2020-02-17,2983.6224,2985.317902137137,2924.9913,,1.0
25,2020-02-18,2984.9716,2976.7058593529105,2981.4097,,
26,2020-02-19,2975.4019,2980.5180656121365,2979.5223,,
27,2020-02-20,3030.1542,3028.994598388672,2981.8802,,
28,2020-02-21,3039.6692,3040.864532470703,3022.2455,1.0,
29,2020-02-21,3039.6692,3040.864532470703,3022.2455,1.0,
30,2020-02-24,3031.2333,3019.8073594118,3027.8925,,
31,2020-02-25,3013.0501,2968.358868382656,2982.0696,,
32,2020-02-26,2987.9287,2996.3428727285273,2978.4195,,
33,2020-02-27,2991.3288,3009.3483970297866,2992.4919,,
34,2020-02-28,2880.3038,2873.7106240453204,2924.6407,,1.0
35,2020-03-02,2970.9312,2995.6172838115385,2899.31,,
36,2020-03-03,2992.8968,3028.220034666808,3006.8888,,
37,2020-03-04,3011.6657,2986.01513671875,2981.806,1.0,
38,2020-03-05,3071.6771,3073.455049273184,3036.1545,,
39,2020-03-06,3034.5113,3015.191431703283,3039.9395,,
40,2020-03-09,2943.2907,2936.7787004452366,2987.1805,,
41,2020-03-10,2996.7618,2975.929681961998,2918.9347,,
42,2020-03-11,2968.5174,2989.040146629302,3001.7616,,1.0
43,2020-03-12,2923.4856,2910.45771772678,2936.0163,1.0,
44,2020-03-13,2887.4265,2848.9601116069084,2804.2322,,
45,2020-03-16,2789.2537,2747.390583759753,2897.3009,,
46,2020-03-17,2779.6407,2725.4134156760742,2796.284,,
47,2020-03-18,2728.7563,2778.7962434409924,2792.3221,,
48,2020-03-19,2702.1296,2679.425353095603,2719.4063,,
49,2020-03-20,2745.6182,2765.427628961083,2727.0186,,
50,2020-03-23,2660.1674,2682.7153762122352,2677.591,,
51,2020-03-24,2722.4381,2720.6412312092666,2703.0193,1.0,1.0
52,2020-03-25,2781.5913,2790.34228515625,2775.3032,,
53,2020-03-26,2764.9109,2766.2859246506614,2761.8961,,
54,2020-03-27,2772.2033,2783.0159722802987,2792.9843,,
55,2020-03-30,2747.2138,2726.917870048662,2739.7191,,1.0
56,2020-03-31,2750.2962,2750.2774608437,2767.3072,,
57,2020-04-01,2734.5215,2752.884978143352,2743.5409,,
58,2020-04-02,2780.6379,2773.780438015403,2720.2284,,
59,2020-04-03,2763.9874,2752.3639304163557,2773.5764,,
60,2020-04-07,2820.7634,2828.1087153634007,2806.9676,,1.0
61,2020-04-08,2815.3686,2806.3575361364137,2805.9166,,
62,2020-04-09,2825.9036,2825.1053192036266,2825.8393,,
63,2020-04-10,2796.6312,2794.218300630837,2827.1873,1.0,
64,2020-04-13,2783.0476,2775.9689035794127,2784.5979,,
65,2020-04-14,2827.283,2827.2153137487217,2794.801,1.0,
66,2020-04-15,2811.1741,2812.5965388114623,2826.6618,1.0,
67,2020-04-16,2819.935,2819.9146502491735,2798.4295,,
68,2020-04-17,2838.4945,2853.0277392192775,2835.5581,1.0,1.0
69,2020-04-20,2852.5528,2847.8164672851562,2840.4085,,
70,2020-04-21,2827.0133,2811.6999002787943,2842.2372,,
71,2020-04-22,2843.9804,2844.0339378613185,2814.0661,1.0,
72,2020-04-23,2838.4994,2848.6942236616146,2850.5104,,1.0
73,2020-04-24,2808.5293,2811.675796508789,2834.9387,,
74,2020-04-27,2815.4947,2838.4873621197107,2812.2422,1.0,
75,2020-04-28,2810.0243,2779.113782840621,2819.9914,,1.0
76,2020-04-29,2822.4424,2836.8289906166274,2801.383,,
77,2020-04-30,2860.0822,2872.373073638995,2832.3843,,1.0
78,2020-04-30,2860.0822,2872.373073638995,2832.3843,,1.0
79,2020-05-06,2878.1402,2878.251708984375,2831.6326,1.0,1.0
80,2020-05-07,2871.5232,2864.5308828473107,2876.4727,,
81,2020-05-08,2895.3444,2901.523258321215,2882.7078,,
82,2020-05-11,2894.802,2896.522843637854,2901.5739,,
83,2020-05-12,2891.5564,2877.098876953125,2894.6171,1.0,
84,2020-05-13,2898.0495,2889.6317988746023,2882.9552,,
85,2020-05-14,2870.3422,2864.289306640625,2887.0577,,
86,2020-05-15,2868.4587,2873.771826772013,2880.7067,,
87,2020-05-18,2875.4176,2878.2668425116613,2872.5244,,
88,2020-05-19,2898.576,2887.0276296493694,2897.6867,,
89,2020-05-20,2883.7378,2876.83642578125,2896.4657,,
90,2020-05-21,2867.9237,2870.1444423566923,2890.7213,,
91,2020-05-22,2813.7654,2816.1083696894257,2863.0462,,
92,2020-05-25,2817.9697,2805.81491558629,2816.241,1.0,
93,2020-05-26,2846.5473,2845.73116626211,2827.8967,,
94,2020-05-27,2836.8036,2832.492670225818,2847.3198,,
95,2020-05-28,2846.2217,2847.0226081188544,2838.2072,,1.0
96,2020-05-29,2852.3512,2845.824524579596,2835.584,,
97,2020-06-01,2915.4311,2923.0761661357296,2871.9641,,
98,2020-06-02,2921.398,2910.6911907511508,2916.3168,,
99,2020-06-03,2923.3711,2930.630602873949,2930.3906,,
100,2020-06-04,2919.2506,2911.4660034179688,2931.8376,,
101,2020-06-05,2930.7993,2919.739133425981,2923.1891,,
102,2020-06-08,2937.7712,2931.971863780972,2941.9816,,1.0
103,2020-06-09,2956.1116,2958.5812712268785,2939.5351,,
104,2020-06-10,2943.7525,2930.627596315044,2951.2784,,
105,2020-06-11,2920.8968,2949.1857625489843,2939.7914,,
106,2020-06-12,2919.7408,2929.879097242701,2876.8029,1.0,
107,2020-06-15,2890.0306,2918.5352684756144,2908.2767,,1.0
108,2020-06-16,2931.7493,2932.706495555755,2912.8251,1.0,
109,2020-06-17,2935.873,2927.642139803263,2932.6708,1.0,
110,2020-06-18,2939.3151,2938.075450996859,2929.8799,,
111,2020-06-19,2967.6341,2968.0120481737126,2938.7887,,
112,2020-06-22,2965.2717,2975.1468221792597,2966.9008,1.0,
113,2020-06-23,2970.6203,2965.4949791069384,2960.8875,,
114,2020-06-24,2979.5505,2982.869292521162,2972.9827,,1.0
115,2020-06-29,2961.5164,2969.091323793571,2973.0757,,
116,2020-06-30,2984.6741,2991.8777618408203,2965.1054,,
117,2020-07-01,3025.981,3010.7672818929377,2991.1813,1.0,
118,2020-07-02,3090.5693,3072.2010886354124,3023.7189,,
119,2020-07-03,3152.8126,3139.7735506220324,3103.9952,,1.0
120,2020-07-06,3332.8807,3415.4607545030776,3187.8393,,
121,2020-07-07,3345.3369,3638.1570170907958,3380.9536,,
122,2020-07-08,3403.4401,3406.0282145450506,3337.5518,,
123,2020-07-09,3450.5935,3365.916611620951,3403.4832,,
124,2020-07-10,3383.3222,3345.349687664414,3418.9347,1.0,
125,2020-07-13,3443.2863,3449.4501740699848,3379.3867,,1.0
126,2020-07-14,3414.6186,3433.4905990111874,3435.0237,,
127,2020-07-15,3361.3044,3359.083538525379,3422.0778,,
128,2020-07-16,3210.0986,3194.377498063712,3356.359,1.0,
129,2020-07-17,3214.1287,3207.950533407097,3214.4022,,1.0
130,2020-07-20,3314.149,3291.9949077106376,3243.9105,,
131,2020-07-21,3320.8947,3292.210680642611,3330.5467,,1.0
132,2020-07-22,3333.1635,3377.043325774962,3315.1816,,
133,2020-07-23,3325.1102,3285.790905915638,3306.1489,,
134,2020-07-24,3196.7684,3200.4726977827954,3310.6449,,1.0
135,2020-07-27,3205.2268,3219.9075572993765,3210.3863,,
136,2020-07-28,3227.9604,3242.546389460421,3226.1329,1.0,
137,2020-07-29,3294.5521,3299.475830078125,3221.9883,1.0,
138,2020-07-30,3286.822,3290.3609224412467,3299.5718,,
139,2020-07-31,3310.0065,3317.6600902329888,3280.7959,,
140,2020-08-03,3367.9658,3379.7678266742405,3332.1826,,
141,2020-08-04,3371.6875,3380.5293770395956,3376.4402,,
142,2020-08-05,3377.5648,3363.4572670385114,3363.3324,,
143,2020-08-06,3386.4631,3375.9936679226,3380.7621,,
144,2020-08-07,3354.0352,3336.6877215387426,3370.5878,,
145,2020-08-10,3379.2524,3398.4028064504464,3341.5276,,
146,2020-08-11,3340.29,3371.0267844297687,3379.4874,,
147,2020-08-12,3319.2656,3299.24747467041,3327.4929,,
148,2020-08-13,3320.7261,3326.0508918851992,3328.1754,,
149,2020-08-14,3360.0988,3354.848078413571,3315.6687,,
150,2020-08-17,3438.801,3456.8535855481687,3373.9018,,
151,2020-08-18,3451.0894,3474.115700756363,3441.9337,,
152,2020-08-19,3408.1288,3419.70250949484,3444.5646,,
153,2020-08-20,3363.8988,3351.9428939865247,3385.9645,,
154,2020-08-21,3380.6825,3389.164905960334,3380.2269,,
155,2020-08-24,3385.6383,3388.3714171793486,3391.1132,,
156,2020-08-25,3373.5781,3383.498352236207,3392.8797,,
157,2020-08-26,3329.7388,3330.7045668937362,3371.8083,,
158,2020-08-27,3350.1128,3336.5377807617188,3333.4909,,
159,2020-08-28,3403.8066,3394.8495269134355,3346.2893,,
160,2020-08-31,3395.6775,3414.3309447905517,3416.5497,,
161,2020-09-01,3410.6068,3391.841736342614,3389.7424,,
162,2020-09-02,3404.8017,3400.8173296090135,3420.4693,,
163,2020-09-03,3384.9806,3387.6802146504056,3404.0319,,
164,2020-09-04,3355.3666,3315.1601900336236,3336.4076,,
165,2020-09-07,3292.5907,3307.358627319336,3349.9184,1.0,1.0
166,2020-09-07,3292.5907,3307.358627319336,3349.9184,1.0,1.0
167,2020-09-08,3316.417,3316.2859497070312,3301.2173,1.0,
168,2020-09-09,3254.6279,3233.5615110819126,3280.9974,,
169,2020-09-10,3234.8234,3260.1215209960938,3282.232,,
170,2020-09-11,3260.3461,3254.98046875,3225.7836,,
171,2020-09-14,3278.8138,3283.955316280125,3275.9181,,
172,2020-09-15,3295.6795,3290.561965952402,3277.1284,,
173,2020-09-16,3283.9244,3283.7855145882304,3293.1678,,
174,2020-09-17,3270.435,3265.7742961121007,3277.3238,,1.0
175,2020-09-18,3338.0897,3338.264331627001,3270.911,,
176,2020-09-21,3316.9351,3329.427999704078,3348.8988,,
177,2020-09-22,3274.3015,3274.156853383467,3290.6656,,
178,2020-09-23,3279.7105,3281.109022333871,3278.8358,,
179,2020-09-24,3223.1764,3207.51664310645,3262.879,,
