Date,Predict_price,actual_p,actual_p-1,type,difference
01/09/2017,3165.758445656037,3171.236,3163.776,buy,-5.477554343962765
01/23/2017,3140.170095934547,3136.775,3095.819,buy,3.3950959345470437
02/15/2017,3221.79964975208,3212.986,3216.137,buy,8.813649752079982
02/20/2017,3237.9042779980987,3239.961,3227.707,buy,-2.0567220019011074
02/20/2017,3237.9042779980987,3239.961,3227.707,buy,-2.0567220019011074
02/28/2017,3246.8983609816887,3241.733,3249.195,buy,5.165360981688536
03/06/2017,3235.841567993164,3233.866,3219.202,buy,1.975567993164077
03/13/2017,3236.4652884657016,3237.024,3213.729,buy,-0.5587115342982543
03/16/2017,3271.823261712432,3268.935,3235.403,buy,2.888261712432268
03/24/2017,3265.6490679236013,3269.445,3245.808,buy,-3.7959320763989126
04/17/2017,3216.7684207164484,3222.167,3276.138,buy,-5.3985792835514985
05/04/2017,3126.684586698002,3127.369,3138.307,buy,-0.68441330199812
05/24/2017,3056.1190200093665,3064.076,3069.394,buy,-7.956979990633499
06/05/2017,3088.284929247078,3091.656,3094.225,buy,-3.371070752922151
06/23/2017,3148.5808620690837,3157.873,3152.242,buy,-9.292137930916397
07/07/2017,3213.7566833496094,3217.957,3203.863,buy,-4.200316650390505
07/12/2017,3205.7106553488916,3197.544,3201.517,buy,8.166655348891709
07/24/2017,3249.447963695665,3250.599,3236.588,buy,-1.151036304335321
07/25/2017,3246.8132869590977,3243.689,3230.898,buy,3.1242869590978444
08/03/2017,3269.5138634691248,3272.929,3288.518,buy,-3.4151365308753157
08/04/2017,3268.1080978129103,3262.081,3279.986,buy,6.027097812910142
09/20/2017,3361.8844957520973,3365.996,3365.532,buy,-4.111504247902758
09/29/2017,3353.8343653069965,3348.943,3343.845,buy,4.891365306996249
10/11/2017,3389.1774360266445,3388.284,3373.345,buy,0.8934360266443946
10/17/2017,3371.862126273231,3372.041,3393.206,buy,-0.178873726769325
10/25/2017,3393.1438848513153,3396.898,3376.599,buy,-3.754115148684832
10/31/2017,3399.259300967022,3393.342,3413.868,buy,5.917300967022129
11/14/2017,3428.2532066175163,3429.548,3435.184,buy,-1.2947933824834763
11/20/2017,3367.2703145760997,3392.399,3392.683,buy,-25.12868542390015
01/09/2017,3165.758445656037,3171.236,3163.776,sell,-5.477554343962765
02/14/2017,3216.314010620117,3217.928,3198.995,sell,-1.613989379882696
04/14/2017,3252.7917098999023,3246.067,3265.218,sell,6.7247098999023365
04/24/2017,3131.7267376711143,3129.531,3170.29,sell,2.1957376711143297
05/11/2017,3046.0036239624023,3061.5,3078.173,sell,-15.496376037597656
05/23/2017,3064.6031877979576,3061.947,3087.171,sell,2.6561877979575
05/26/2017,3108.4075057138266,3110.059,3055.343,sell,-1.6514942861736017
06/08/2017,3148.940894853223,3150.334,3101.761,sell,-1.3931051467766338
07/25/2017,3246.8132869590977,3243.689,3230.898,sell,3.1242869590978444
07/28/2017,3250.564768108557,3253.24,3243.765,sell,-2.6752318914427633
07/31/2017,3273.0978489719273,3273.028,3240.173,sell,0.06984897192751305
08/07/2017,3272.2689553061464,3279.457,3269.318,sell,-7.188044693853499
08/21/2017,3287.246961441656,3286.906,3253.243,sell,0.3409614416559634
08/29/2017,3349.3490082135845,3365.226,3336.126,sell,-15.876991786415601
09/18/2017,3366.7353531780964,3362.859,3365.145,sell,3.8763531780964513
10/23/2017,3386.9995272512497,3380.699,3363.514,sell,6.300527251249605
11/02/2017,3388.3958435058594,3383.31,3393.968,sell,5.08584350585943
11/06/2017,3388.928202201066,3388.174,3377.736,sell,0.754202201066164
11/15/2017,3416.851516723633,3402.525,3446.545,sell,14.326516723632722
11/17/2017,3391.867960026542,3382.908,3393.194,sell,8.959960026541921
11/27/2017,3342.08414584849,3322.23,3340.384,sell,19.854145848490134
12/26/2017,3295.722874796258,3306.125,3296.211,sell,-10.402125203741889
